Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1961","1961","tonnes","2000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1962","1962","tonnes","2000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1963","1963","tonnes","2000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1964","1964","tonnes","2400","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1965","1965","tonnes","2700","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1966","1966","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1967","1967","tonnes","3700","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1968","1968","tonnes","3700","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1969","1969","tonnes","3700","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1970","1970","tonnes","3600","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1971","1971","tonnes","2900","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1972","1972","tonnes","3500","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1973","1973","tonnes","3700","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1974","1974","tonnes","3700","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1975","1975","tonnes","3700","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1976","1976","tonnes","3500","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1977","1977","tonnes","2100","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1978","1978","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1979","1979","tonnes","2900","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1980","1980","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1981","1981","tonnes","2900","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1982","1982","tonnes","2800","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1983","1983","tonnes","2800","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1984","1984","tonnes","2700","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1985","1985","tonnes","2500","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1986","1986","tonnes","2600","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1987","1987","tonnes","2200","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1988","1988","tonnes","2200","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1989","1989","tonnes","2300","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1990","1990","tonnes","2296","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1991","1991","tonnes","2282","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1992","1992","tonnes","2331","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1993","1993","tonnes","2391","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1994","1994","tonnes","2469","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1995","1995","tonnes","2546","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1996","1996","tonnes","2623","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1997","1997","tonnes","2700","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1998","1998","tonnes","2778","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","1999","1999","tonnes","2855","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","521","Pears","2000","2000","tonnes","2932","Im","FAO data based on imputation methodology"
