Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1983","1983","tonnes","82","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1984","1984","tonnes","125","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1985","1985","tonnes","216","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1986","1986","tonnes","211","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1987","1987","tonnes","233","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1988","1988","tonnes","230","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1989","1989","tonnes","232","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1990","1990","tonnes","329","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1991","1991","tonnes","480","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1992","1992","tonnes","510","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1993","1993","tonnes","640","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1994","1994","tonnes","617","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1995","1995","tonnes","624","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1996","1996","tonnes","650","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1997","1997","tonnes","635","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1998","1998","tonnes","641","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","1999","1999","tonnes","646","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2000","2000","tonnes","652","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2001","2001","tonnes","658","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2002","2002","tonnes","662","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2003","2003","tonnes","669","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2004","2004","tonnes","675","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2005","2005","tonnes","681","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2006","2006","tonnes","700","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2007","2007","tonnes","715","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2008","2008","tonnes","720","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2009","2009","tonnes","700","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2010","2010","tonnes","696","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2011","2011","tonnes","692","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2012","2012","tonnes","660","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2013","2013","tonnes","702","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2014","2014","tonnes","714","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2015","2015","tonnes","715","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2016","2016","tonnes","721","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2017","2017","tonnes","730","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2018","2018","tonnes","730","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2019","2019","tonnes","733","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","587","Persimmons","2020","2020","tonnes","736","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","587","Persimmons","1992","1992","tonnes","48788","","Official data"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","587","Persimmons","1993","1993","tonnes","42156","","Official data"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","587","Persimmons","1994","1994","tonnes","39369","","Official data"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","587","Persimmons","1995","1995","tonnes","39478","","Official data"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","587","Persimmons","1996","1996","tonnes","39089","","Official data"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","587","Persimmons","1997","1997","tonnes","37349","","Official data"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","587","Persimmons","1998","1998","tonnes","47423","","Official data"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","587","Persimmons","1999","1999","tonnes","60116","","Official data"
"QCL","Crops and livestock products","AZE","Azerbaijan","5510","Production","587","Persimmons","2000","2000","tonnes","70266","","Official data"
