Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1975","1975","tonnes","0","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1976","1976","tonnes","3700","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1977","1977","tonnes","2700","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1978","1978","tonnes","3800","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1979","1979","tonnes","2000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1980","1980","tonnes","3200","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1981","1981","tonnes","2600","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1982","1982","tonnes","3200","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1983","1983","tonnes","2500","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1984","1984","tonnes","3000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1985","1985","tonnes","2200","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1986","1986","tonnes","2600","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1987","1987","tonnes","2000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1988","1988","tonnes","2200","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1989","1989","tonnes","1700","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1990","1990","tonnes","2000","F","FAO estimate"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1991","1991","tonnes","2000","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1992","1992","tonnes","2100","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1993","1993","tonnes","2200","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1994","1994","tonnes","2300","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1995","1995","tonnes","2400","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1996","1996","tonnes","2500","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1997","1997","tonnes","2600","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1998","1998","tonnes","2600","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","1999","1999","tonnes","2800","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","2000","2000","tonnes","2800","","Official data"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","223","Pistachios","2001","2001","tonnes","2800","","Official data"
