Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1961","1961","tonnes","2361","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1962","1962","tonnes","2361","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1963","1963","tonnes","1734","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1964","1964","tonnes","1919","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1965","1965","tonnes","1696","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1966","1966","tonnes","1782","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1967","1967","tonnes","1641","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1968","1968","tonnes","1313","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1969","1969","tonnes","1311","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1970","1970","tonnes","1465","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1971","1971","tonnes","1537","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1972","1972","tonnes","1464","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1973","1973","tonnes","1628","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1974","1974","tonnes","1131","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1975","1975","tonnes","1345","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1976","1976","tonnes","759","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1977","1977","tonnes","664","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1978","1978","tonnes","643","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1979","1979","tonnes","523","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1980","1980","tonnes","656","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1981","1981","tonnes","602","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1982","1982","tonnes","604","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1983","1983","tonnes","584","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1984","1984","tonnes","431","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1985","1985","tonnes","547","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1986","1986","tonnes","360","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1987","1987","tonnes","481","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1988","1988","tonnes","517","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1989","1989","tonnes","519","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1990","1990","tonnes","572","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1991","1991","tonnes","444","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1992","1992","tonnes","482","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1993","1993","tonnes","537","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1994","1994","tonnes","500","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1995","1995","tonnes","399","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1996","1996","tonnes","370","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1997","1997","tonnes","361","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1998","1998","tonnes","568","","Official data"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","1999","1999","tonnes","600","F","FAO estimate"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","2000","2000","tonnes","499","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","AUS","Australia","5510","Production","547","Raspberries","2001","2001","tonnes","399","","Official data"
