Country,MS,gMS,aMS
Bhutan,38,38,51
Nepal,40,40,50
East Timor,40,40,53
Bangladesh,41,41,48
Haiti,41,40,50
Nicaragua,46,51,54
Rwanda,47,47,60
Bolivia,50,49,62
Sri Lanka,50,52,56
Guinea,50,49,61
Burundi,51,51,66
Vietnam,51,50,61
Madagascar,51,50,63
Trinidad and Tobago,51,50,63
Tajikistan,52,54,68
Philippines,52,53,60
Gambia,53,52,60
Guatemala,53,53,67
Costa Rican,55,54,66
Indonesia,55,63,63
Nigeria,55,56,61
Yemen,55,50,65
Cambodia,55,54,64
Ghana,56,56,63
EI Salvador,56,56,62
Mongolia,56,54,66
Honduras,56,55,72
Cameroon,56,52,72
Tanzania,57,49,66
Afghanistan,57,55,63
Bosnia and Herzegovina,57,57,70
Armenia,57,58,70
Colombia,57,55,72
Kenya,57,55,62
India,58,58,63
Somalia,58,57,69
South Sudan,59,60,67
Papua New Guinea,59,58,67
Guyana,59,59,74
Montenegro,59,59,75
Lesotho,60,60,76
Ecuador,60,62,74
Laos,60,59,73
Lebanon,60,61,67
Guinea-Bissau,60,60,73
Gabon,60,60,71
Ethiopia,61,59,77
Kyrgyz Republic,61,63,77
Central African Republic,61,62,73
Jamaica,61,61,71
Democratic Republic of the Congo,62,61,77
Eritrea,62,59,82
Peru,62,62,73
Togo,63,62,66
"Congo, Republic of",63,62,73
Burkina Faso,63,62,68
Benin,63,62,70
Chad,63,62,68
Uganda,64,63,69
Georgia,64,65,75
Sierra Leone,64,62,75
Albania,65,65,80
Kosovo,65,66,74
Suriname,65,65,74
Liberia,66,65,74
Moldova,67,68,74
Belize,67,66,79
Paraguay,67,67,73
Niger,69,69,78
Djibouti,69,69,91
Eswatini,69,68,82
Senegal,71,70,80
Uzbekistan,71,68,83
Myanmar,71,69,80
Syria,72,71,78
Kazakhstan,72,71,81
Brazil,72,72,81
Mali,72,73,84
Panama,72,72,87
Sudan,72,73,83
Romania,73,72,83
Zambia,73,71,81
Norway,73,74,88
Equatorial Guinea,74,76,86
Dominican Republic,74,75,82
North Macedonia,74,74,89
Malawi,75,74,86
Ukraine,75,76,83
Russia,76,77,83
Cyprus,76,76,93
Jordan,77,74,87
Thailand,77,73,86
Latvia,77,77,82
Iceland,77,77,97
Mauritania,77,78,85
Angola,78,78,86
Cuba,78,79,82
Mozambique,78,77,97
Tunisia,78,78,86
Côte d'Ivoire,78,79,84
Puerto Rico,78,77,95
Denmark,78,79,87
Iraq,79,79,84
Turkmenistan,79,81,90
Azerbaijan,80,82,89
United Arab Emirates,80,82,90
Estonia,81,80,85
Japan,81,81,92
Qatar,82,81,86
Uruguay,82,81,88
New Zealand,83,84,95
Egypt,83,83,90
Zimbabwe,83,83,92
Finland,83,83,89
Venezuela,83,83,95
Israel,84,84,99
Kuwait,85,85,97
Belarus,85,85,91
Pakistan,86,86,94
Switzerland,87,85,97
Netherlands,87,87,98
United Kingdom,87,84,95
Bulgaria,88,87,95
Brunei Darussalam,88,88,101
Algeria,88,88,99
Ireland,88,87,95
Lithuania,89,88,93
Libya,90,85,110
China,90,91,98
Slovenia,90,88,100
Mexico,90,85,99
Argentina,91,92,95
Botswana,91,91,96
Taiwan,91,89,100
Malaysia,92,92,101
Poland,92,90,98
Chile,92,86,101
Belgium,92,91,98
Greece,93,92,115
Korea,93,93,100
Turkey,93,90,109
Slovak Republic,93,94,105
Sweden,94,93,102
Iran,94,94,106
Serbia,94,93,106
Italy,95,95,113
Morocco,95,95,103
Australia,96,96,106
Austria,96,95,107
Hungary,96,96,104
Germany,97,96,107
Czech Republic,98,93,109
Croatia,98,97,117
Namibia,99,99,114
South Africa,100,99,106
Oman,102,100,111
Spain,103,102,115
France,105,105,114
Canada,106,103,119
Saudi Arabia,106,106,112
Portugal,106,106,114
United States,107,107,114
