Province,Colleges,Total,Undergraduate,CollegeStudent
北京市,92,60.89,53.61,7.28
天津市,56,57.22,36.82,20.39
河北省,125,160.48,87.45,73.03
山西省,85,84.2,52.74,31.46
内蒙古自治区,54,48.66,27.11,21.56
辽宁省,114,114.08,71.21,42.87
吉林省,64,72.7,50.08,22.62
黑龙江省,80,82.56,56.01,26.55
上海市,63,54.07,40,14.07
江苏省,167,201.47,117.41,84.06
浙江省,109,114.87,66.13,48.75
安徽省,120,136.85,71,65.84
福建省,89,94.72,53.72,41
江西省,105,124.2,61.02,63.18
山东省,152,229.15,113.7,115.45
河南省,151,249.22,125.07,124.15
湖北省,129,161.69,93.4,68.29
湖南省,128,151.03,78.18,72.85
广东省,154,240.02,122.25,117.77
广西壮族自治区,82,118.42,56,62.41
海南省,21,23.01,12.57,10.44
重庆市,68,91.56,48.83,42.73
四川省,132,180.09,99.38,80.71
贵州省,75,84.02,39.4,44.62
云南省,82,96.42,49.94,46.48
西藏自治区,7,3.86,2.7,1.15
陕西省,96,121,72.22,48.78
甘肃省,50,58.11,30.75,27.36
青海省,12,7.41,4.25,3.16
宁夏回族自治区,20,14.67,8.94,5.73
新疆维吾尔自治区,56,48.67,23.85,24.82
