Province,Total,Sea,Freshwater
北京市,22.81,21.08,1.73
天津市,28.48,4.28,24.2
河北省,100.34,71.02,29.32
山西省,4.68,,4.68
内蒙古自治区,11.76,,11.76
辽宁省,462.3,377.85,84.45
吉林省,24.48,,24.48
黑龙江省,67.41,,67.41
上海市,24.41,16.07,8.34
江苏省,490.18,134.99,355.2
浙江省,589.55,450.94,138.61
安徽省,232.41,,232.41
福建省,832.98,740.49,92.49
江西省,262.69,,262.69
山东省,828.61,718.09,110.52
河南省,98.06,,98.06
湖北省,467.93,,467.93
湖南省,258.92,,258.92
广东省,875.81,450.53,425.28
广西壮族自治区,345.8,200.92,144.88
海南省,164.64,128.12,36.53
重庆市,52.4,,52.4
四川省,160.41,,160.41
贵州省,24.87,,24.87
云南省,64.4,,64.4
西藏自治区,0.09,,0.09
陕西省,16.9,,16.9
甘肃省,1.4,,1.4
青海省,1.83,,1.83
宁夏回族自治区,16.16,,16.16
新疆维吾尔自治区,16.3,,16.3
