Province,Total,Manned,Cargo,Other,Population
北京市,507.07,478.03,27.18,1.86,2189
天津市,279.67,259.8,19.12,0.74,1387
河北省,1606.46,1444.38,158.6,3.48,7464
山西省,687.57,637.54,48.69,1.34,3490
内蒙古自治区,568.74,513.39,53.9,1.45,2403
辽宁省,819.24,757.66,60.1,1.49,4255
吉林省,435.75,399.5,35.43,0.81,2399
黑龙江省,501.76,447.35,53.49,0.92,3171
上海市,347.59,346.68,0.64,0.27,2488
江苏省,1742.05,1675.71,62.89,3.44,8477
浙江省,1559.34,1460.84,96.93,1.57,6468
安徽省,869.01,798.55,68.46,1.99,6105
福建省,631.86,576.87,54.14,0.85,4161
江西省,588.56,538.88,48.59,1.1,4519
山东省,2267.94,2085.22,177.57,5.16,10165
河南省,1602.37,1478.8,120.02,3.55,9941
湖北省,840.09,770.61,67.22,2.26,5745
湖南省,885.85,810.82,72.94,2.09,6645
广东省,2191.41,2045.72,142.68,3.02,12624
广西壮族自治区,687.05,618.94,66.53,1.57,5019
海南省,129.25,115.93,13.32,,1012
重庆市,441.54,414.05,26.75,0.74,3209
四川省,1139.26,1059.58,77.55,2.12,8371
贵州省,532.13,472.29,58.58,1.26,3858
云南省,739.57,637.5,100.31,1.76,4722
西藏自治区,52.59,35.74,16.77,0.08,366
陕西省,663.98,614.01,48.16,1.81,3955
甘肃省,319.66,273.35,45.3,1.01,2501
青海省,108.41,92.86,15.08,0.47,593
宁夏回族自治区,155.08,124.84,29.57,0.67,721
新疆维吾尔自治区,390.33,348.37,40.76,1.2,2590
