Province,Grain,EdibleOil,VegetableAndEdibleFungi,Meat,Brid,AquaticProduct,Egg,Milk,Fruit,Sugar,CityGrain,CityEdibleOil,CityVegetableAndEdibleFungi,CityMeat,CityBrid,CityAquaticProduct,CityEgg,CityMilk,CityFruit,CitySugar,VillageGrain,VillageEdibleOil,VillageVegetableAndEdibleFungi,VillageMeat,VillageBrid,VillageAquaticProduct,VillageEgg,VillageMilk,VillageFruit,VillageSugar
Unit,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克,千克
北京市,107.2,7.5,122.7,27.3,7.9,9.5,16.9,30.1,81.9,1.2,105.2,7.3,124,27.7,8.1,9.7,16.8,32.4,83.5,1.2,120.1,8.9,114.1,25.1,6.8,8.4,17.6,15.1,71.7,1.4
天津市,111.1,9.6,117.2,23.8,7,16.8,21.5,16.8,85.8,1.2,101.9,9,119.6,24.5,7.2,17.3,21.6,18.2,86.4,1.1,155,12.8,105.5,20.5,6.3,14.7,20.9,10.4,83.3,1.6
河北省,161.8,8.8,108.3,20.6,7.2,7.6,18.7,16.5,79.1,1.3,157.7,9.4,124.1,25.2,8.4,9.9,21.2,23.7,91.5,1.2,166.1,8.1,91.8,15.8,5.9,5.2,16.1,8.9,66.1,1.4
山西省,159.3,8.6,98.9,14.7,4.1,3.1,16.3,17.9,63,1.1,130.9,8,104.6,17.6,4.8,4.3,16.9,22.8,76.2,0.9,192.8,9.4,92.3,11.3,3.2,1.7,15.5,12,47.3,1.4
内蒙古自治区,173.1,7.7,100.9,31.9,8,6.5,14.3,24.8,67.3,1.3,141.1,8,109.3,32.9,8.2,7.6,15.3,31.4,80.7,1.1,221.6,7.2,88.2,30.5,7.8,4.7,12.8,14.7,47.1,1.7
辽宁省,145.9,10.4,117.1,25.1,7.1,15.1,16.6,17.7,69.6,1.2,129.6,10,125,27.4,8.1,18.6,17.9,23.4,83,1.2,178.5,11.3,101.5,20.5,4.9,8.2,14.1,6.1,42.6,1.2
吉林省,157.5,11.2,105.6,20.6,7.1,10.2,14,11.6,64,1.4,129.7,11.2,106.5,24.9,7.1,12.3,15.3,15.9,77.4,1.3,192.7,11.2,104.5,15.1,7,7.6,12.2,6.1,47.1,1.6
黑龙江省,167.1,16.2,108,22.2,8.2,10.3,16.4,10.6,70.2,1.8,134.1,14.1,109.4,23.8,7.5,11.6,17,14.4,76.9,1.5,213.6,19.1,106.1,20,9.3,8.5,15.6,5.3,60.6,2.2
上海市,111.4,9.2,105.3,29.1,14,27.1,13.9,23.1,60.2,1.5,106.4,8.8,105.9,28.6,13.6,26.8,13.8,23.8,60.6,1.4,154.9,12.7,99.8,32.9,17.9,29.8,14.4,16.8,57,1.7
江苏省,122.1,10.2,104.5,25,13.2,19.5,13.2,15.4,44.2,1.1,109.9,9.4,106.7,27.1,13.7,21.4,13.2,17.6,49,1,146.1,11.8,100.1,20.7,12.2,15.8,13.1,11,34.8,1.3
浙江省,137.3,11.5,96.9,26.3,13,25.9,10.6,14.7,56,1.6,124.2,10.9,97.8,27.1,13.6,28.3,10.9,16.5,62.1,1.5,163.5,12.7,95.1,24.8,11.8,21.2,9.8,11.3,43.8,1.9
安徽省,148.3,9,104.8,24.1,15.7,14.6,14.2,11.3,55.9,0.9,126.5,8.5,107.5,26.8,15.8,16.2,14.2,13.4,61.5,0.9,170.4,9.5,102,21.4,15.5,13.1,14.2,9.1,50.2,1
福建省,124.4,9.6,89.6,24.6,15.7,26.4,10.7,11.7,45,1.6,98.4,9,85.5,25.6,13.3,27.7,10.7,13.9,49.5,1.3,167.1,10.6,96.3,22.8,19.5,24.2,10.7,8.3,37.6,2.1
江西省,154,15.6,105.5,29.7,12.8,15.7,9.5,11.2,46.7,1,130.9,15.6,110.4,33.8,13.3,17.9,9.7,15.4,55.8,1,178.2,15.7,100.3,25.4,12.4,13.3,9.3,6.8,37.2,1.1
山东省,124,7.7,95.9,18.6,8.2,15.7,20.1,17.6,81.1,0.7,110.2,7.4,105.6,20.9,8.5,19.1,20.6,22.5,91.7,0.7,142,8.2,83.3,15.6,7.9,11.2,19.5,11.1,67.3,0.7
河南省,150.9,8.9,94.1,15.9,8.7,5.2,18.9,13.5,62.7,1.2,136.6,8.7,107.8,19.6,9.6,6.6,19.9,19.3,72.4,1.1,163.4,9.1,82,12.7,7.8,4,18,8.4,54.2,1.3
湖北省,132.9,13.3,126.8,25.2,7.7,18.1,9.7,7.7,42.5,0.8,119.3,12.3,120.9,29.2,8.4,19.3,9.9,10,49.2,0.8,150.7,14.6,134.5,19.9,6.8,16.5,9.5,4.8,33.7,0.9
湖南省,157.2,12.5,104.5,27.1,15.8,14.6,10.3,7.4,57,1.2,124,12,110.9,31.2,14.9,17.3,9.6,10.6,67.6,1.1,191.6,13,97.8,23,16.8,11.8,11.1,4.1,46,1.2
广东省,128.2,9.9,113,33.6,31.1,30,9.9,9.6,47.5,1.6,108.9,9.1,113.7,34.4,28.1,30.1,10.2,11.7,53.5,1.5,172,11.8,111.5,31.9,38,29.9,9.1,4.7,33.8,1.9
广西壮族自治区,141.8,9.1,89.7,24.4,30.7,13.5,7.6,5.6,39.2,1.2,103.3,8.3,96.9,27.4,29,16.5,8.2,9,50.4,1.3,175.1,9.7,83.5,21.8,32.2,10.9,7.1,2.6,29.6,1.1
海南省,107.7,9.5,99.4,21.2,30.4,30.8,5.6,4.9,30.2,1,91.5,8.8,100.5,23,27.6,31.1,6.2,7,37.5,0.9,128.3,10.2,98.1,18.9,34,30.3,4.9,2.3,20.9,1
重庆市,149.5,15.3,130.3,35.3,13.6,12.5,11.8,14,46.5,2.7,122,14.9,131.3,36.5,14.4,14.1,11.7,17.8,53.5,1.9,192.9,15.9,128.8,33.5,12.3,10,12,8,35.3,3.8
四川省,146.9,11.7,119.6,33.6,14.5,9.2,9.9,10,45.8,1.7,112.8,11.5,124.7,37,14.4,11.1,10,13.8,57.1,1.4,177.7,11.9,115.1,30.4,14.7,7.5,9.9,6.6,35.5,1.9
贵州省,119.3,8.1,79.4,24.7,6.6,3,4.8,5.1,34.1,0.8,108.2,9,80.5,27.7,8.8,4.4,6,9.5,46,0.8,127.1,7.5,78.5,22.6,5.1,2,3.9,2,25.6,0.8
云南省,139.1,7.4,90,28.8,9.6,4.8,5.4,6.2,38.2,1.4,112.1,7.9,99.8,26.5,10,6.5,5.7,10.9,54.6,1.3,159,7.1,82.8,30.4,9.3,3.6,5.2,2.8,26.2,1.4
西藏自治区,193.6,15.3,55.7,30.4,1.2,0.4,2.4,8.5,11.2,4,164.2,13.7,104.9,53.5,3.5,1.4,6.3,19.4,26.4,3.3,204.5,15.9,37.5,21.9,0.4,0,1,4.5,5.5,4.3
陕西省,142.3,11.5,90,15.2,4,3.1,10.3,14.7,50.4,1,126.5,10.3,101,18.1,5,4.7,12.2,20.3,67.9,0.9,159.8,12.8,77.8,12.1,2.9,1.2,8.2,8.6,30.9,1.1
甘肃省,159,9.6,82.5,17.6,6.3,2.8,9.3,15.7,59.8,1.7,135,9.1,107.2,21.3,6.9,5,12,27.6,86.1,1.5,176.7,10,64.1,14.8,5.8,1.1,7.3,6.9,40.3,1.9
青海省,112.2,8.8,58.4,23.8,3.7,1.9,5.2,16.7,29.1,1.6,94.5,8.8,66.8,23.2,4.7,3.1,6.9,22.9,38.7,1.1,130.2,8.9,49.9,24.5,2.7,0.8,3.5,10.5,19.3,2
宁夏回族自治区,115.6,8.5,88.8,16.3,8.4,2.9,7.4,13.5,73.3,1.5,93,7.6,96.9,17.3,7.4,4.1,8.9,18.1,81.4,1.2,142.5,9.5,79.2,15.1,9.7,1.5,5.5,7.9,63.8,1.8
新疆维吾尔自治区,156,13.7,106.2,23.7,6.9,3.1,8.5,18.7,58.6,1.3,135.9,13.1,119.9,26.1,8.4,5.5,11.5,31.2,73.5,1.4,173.9,14.2,94.1,21.7,5.5,0.9,5.9,7.6,45.3,1.3
