Province,Total,CulturalRelic,People,Population
北京市,80,2192500,818.53,2189
天津市,71,761363,521.25,1387
河北省,148,409994,897.31,7464
山西省,159,1445779,1310.49,3490
内蒙古自治区,172,1183832,788.69,2403
辽宁省,65,530401,678.6,4255
吉林省,107,646423,332.51,2399
黑龙江省,191,1002934,2675.36,3171
上海市,107,2086603,1235.93,2488
江苏省,367,2025066,5396.45,8477
浙江省,406,1511944,3076.53,6468
安徽省,230,908842,1453.97,6105
福建省,132,745277,1193.74,4161
江西省,172,601851,3238.67,4519
山东省,577,4607278,3525.13,10165
河南省,336,1200736,3191.01,9941
湖北省,214,2137113,1380.29,5745
湖南省,122,648179,3394.24,6645
广东省,296,2531279,2494.08,12624
广西壮族自治区,142,387903,1241.8,5019
海南省,35,175897,181.39,1012
重庆市,105,596494,1751.45,3209
四川省,258,4588431,3753.36,8371
贵州省,92,192149,1904.31,3858
云南省,161,1566085,937.21,4722
西藏自治区,8,72012,18.44,366
陕西省,309,3852109,2242.09,3955
甘肃省,226,564617,1748.66,2501
青海省,24,74172,118.48,593
宁夏回族自治区,54,346058,335.47,721
新疆维吾尔自治区,81,223485,202.59,2590
