Province,Total,InventionPatent,UtilityModelPatent,DesignPatent,Population
北京市,162824,63266,75336,24222,2189
天津市,75434,5262,64221,5951,1387
河北省,92196,6365,68466,17365,7464
山西省,27296,2987,21933,2376,3490
内蒙古自治区,17958,1162,14423,2373,2403
辽宁省,60185,7936,46681,5568,4255
吉林省,23951,3969,17363,2619,2399
黑龙江省,28475,4598,20211,3666,3171
上海市,139780,24208,92249,23323,2488
江苏省,499167,45975,405885,47307,8477
浙江省,391700,49888,231693,110119,6468
安徽省,119696,21432,84609,13655,6105
福建省,145928,10250,99956,35722,4161
江西省,80239,4407,51326,24506,4519
山东省,238778,26745,184564,27469,10165
河南省,122809,9183,95894,17732,9941
湖北省,110102,17555,80229,12318,5745
湖南省,78723,11537,49052,18134,6645
广东省,709725,70695,380882,258148,12624
广西壮族自治区,34470,3521,23061,7888,5019
海南省,8578,721,7027,830,1012
重庆市,55377,7637,40021,7719,3209
四川省,108386,14187,73927,20272,8371
贵州省,34971,2268,27714,4989,3858
云南省,28943,2458,23095,3390,4722
西藏自治区,1702,96,1049,557,366
陕西省,60524,12122,42227,6175,3955
甘肃省,20991,1446,17503,2042,2501
青海省,4693,333,4050,310,593
宁夏回族自治区,7710,703,6477,530,721
新疆维吾尔自治区,12763,859,10805,1099,2590
