序号,县市,单价,同比,环比
Unit,,元/平方米,%,%
Remark,
1,陵水县,32782,-5.70,-9.91
2,义乌市,26182,-1.60,-1.33
3,永康市,25233,21.95,0.01
4,昆山市,22957,11.76,-0.78
5,万宁市,22200,3.85,0.15
6,温岭市,21706,2.94,-1.54
7,乐清市,20681,6.69,0.33
8,江山市,20401,2.10,4.27
9,桐乡市,19119,0,-1.70
10,瑞安市,18890,1.33,-5.11
11,蒲江县,18707,0,3.61
12,德清县,18521,19.51,3.12
13,肥西县,18278,0,-5.35
14,宁海县,18219,14.20,-1.88
15,缙云县,18015,0,0.63
16,三河市,17766,2.19,1.89
17,海宁市,17752,0,-0.20
18,余姚市,17698,26.99,-7.46
19,寻甸县,17600,0,0
20,乐东县,17503,3.83,-1.40
21,闽侯县,17186,-2.31,3.62
22,海门区,17094,-2.06,-2.70
23,常熟市,17073,-6.57,0.18
24,临海市,16948,4.10,-0.32
25,嘉善县,16753,0,-1.38
26,建德市,16723,0,7.498
27,永嘉县,16630,0.31,-2.68
28,晋江市,16119,-2.99,-0.25
29,东阳市,15855,0,-0.20
30,象山县,15794,32.62,-8.57
31,启东市,15772,7.44,-0.21
32,安吉县,15694,27.73,-3.11
33,诸暨市,15687,3.18,1.20
34,桐庐县,15353,0,11.085
35,龙泉市,15249,0,-0.17
36,大厂县,15230,4.47,-0.60
37,武义县,15151,0,-0.82
38,宜兴市,15126,-8.90,0.64
39,慈溪市,14986,-2.63,-1.41
40,泰顺县,14807,8.16,0.78
41,太仓市,14740,7.81,1.78
42,开化县,14729,-5.78,0.48
43,平湖市,14690,0,-0.07
44,安溪县,14622,-8.15,1.42
45,福清市,14610,0,-1.12
46,苍南县,14540,12.26,0.84
47,天台县,14126,7.77,3.84
48,保亭县,14100,2.71,0
49,浦江县,14027,0,4.18
50,张家港市,14004,-2.84,-0.92
51,新昌县,13840,21.99,-0.08
52,玉环市,13783,0,5.29
53,江阴市,13745,-4.29,2.88
54,淳安县,13494,0,9.51
55,海安市,13337,-0.28,0.91
56,尤溪县,13237,48.13,0
57,青田县,13070,0,0.33
58,大城县,12968,14.60,10.06
59,靖江市,12816,6.74,2.86
60,遂昌县,12728,0,4.64
61,长兴县,12702,3.39,-1.51
62,昌江县,12700,-4.06,0
63,如东县,12695,-0.84,0.14
64,固安县,12652,0.76,-4.07
65,滦平县,12591,49.36,-3.43
66,德化县,12412,10.77,1.33
67,溧阳市,12403,10.33,9.97
68,康平县,12400,0,0
69,沭阳县,12356,-4.19,-2.67
70,如皋市,12189,10.52,-2.61
71,长泰县,12116,9.13,-1.53
72,大田县,12069,80.13,-11.28
73,长丰县,11823,0,-2.42
74,龙游县,11803,-40,3.33
75,龙海市,11776,11.77,10.56
76,仙居县,11768,0,3.80
77,正定县,11763,-8.88,0.51
78,兰溪市,11692,0,1.80
79,肥东县,11583,16.20,-1.25
80,澄迈县,11559,5.45,-1.29
81,东方市,11546,-10.73,-5.15
82,平阳县,11484,17.35,2.86
83,兴化市,11346,12.05,0.21
84,东海县,11323,0,-10.74
85,仪征市,11272,22.66,-10.89
86,长汀县,11272,0.74,0.31
87,怀来县,11209,-12.66,-7.41
88,新津区,11161,0,-2.20
89,嵊州市,11033,13.05,-0.49
90,常山县,10941,-14.87,-1.51
91,东台市,10923,-2.42,1.69
92,文昌市,10856,2.86,5.69
93,大邑县,10855,0,-3.60
94,海盐县,10830,0,0.12
95,上杭县,10813,10.64,0
96,岱山县,10744,0,3.31
97,南昌县,10730,0,-0.59
98,三门县,10672,9.36,1.48
99,永春县,10634,15.06,4.89
100,福鼎市,10585,16.70,0.67
101,平潭县,10574,-14.80,12.28
102,石狮市,10361,17.33,1.76
103,临高县,10361,0.88,-5.17
104,滕州市,10334,6.84,-0.30
105,澄江市,10300,-14.83,11.19
106,费县,10292,0.14,0.03
107,平度市,10280,12.62,-0.65
108,太湖县,10249,23.08,-6.60
109,富民县,10246,-5.66,-8.17
110,香河县,10205,6.11,-2.80
111,云霄县,10202,-12.52,-0.98
112,栖霞市,10200,111.31,-27.43
113,琼海市,10179,6.70,0.48
114,古田县,10097,2.56,-0.51
115,句容市,10051,0.41,10.50
116,惠东县,10036,-7.16,-3.20
117,松阳县,10002,0,8.12
118,雷州市,9923,101.16,-14.53
119,武夷山市,9869,-0.65,2.92
120,南澳县,9858,2.23,1.20
121,宁化县,9759,24.83,11.88
122,涿州市,9748,4.18,0.48
123,南皮县,9724,20.87,0
124,宜良县,9700,7.12,0
125,东山县,9678,14.72,10.43
126,都江堰市,9627,0,-4.64
127,博罗县,9608,13.69,-0.44
128,霞浦县,9608,4.42,1.08
129,漳平市,9607,0,-3.07
130,浦城县,9568,16.85,-0.26
131,迁安市,9564,7.30,0.43
132,泰兴市,9552,0.53,-0.81
133,惠安县,9538,7.13,-3.22
134,蔚县,9530,0,-15.18
135,仁怀市,9508,0,1.74
136,佛冈县,9467,16.02,-3.81
137,永清县,9465,14.84,-7.18
138,胶州市,9454,-1.80,9.04
139,丹阳市,9450,2.14,-0.72
140,云和县,9439,0,-3.51
141,泗阳县,9439,13.22,-8.37
142,西昌市,9429,-2.31,-0.35
143,永泰县,9384,0,-4.92
144,沛县,9375,21.64,10
145,中牟县,9370,9.02,2.26
146,青阳县,9359,34.41,0
147,任丘市,9350,-1.32,4.05
148,福安市,9336,-4.92,-3.22
149,酉阳县,9326,6.04,0.30
150,南安市,9314,-2.08,1.73
151,将乐县,9296,0,0.11
152,宝应县,9279,9.94,-3.28
153,简阳市,9233,0,-0.09
154,云阳县,9202,-3.89,-7.64
155,阳曲县,9200,-7.69,0
156,肃宁县,9185,-3.50,0
157,腾冲市,9174,-5.47,-1.99
158,雄县,9100,4.23,0
159,崇州市,9095,0,-1.87
160,都昌县,9068,0,-9.15
161,潜山市,9058,10.22,-90
162,邵武市,9049,100,0
163,新密市,9037,20.16,2.70
164,连城县,9018,26.28,0
165,武安市,9009,3.66,0.23
166,饶平县,9003,25.78,-2.36
167,马尔康市,9000,-2.92,-9.48
168,河间市,8984,6.83,-8.24
169,蓝田县,8896,-5.74,6.13
170,滨海县,8890,1.53,-1.80
171,泊头市,8883,-4.29,0.01
172,泾阳县,8854,4.04,-7.10
173,新沂市,8832,10.26,0.51
174,皋兰县,8785,27.39,-7.01
175,建宁县,8764,-13.54,-6.36
176,东光县,8755,-0.91,-2.06
177,仙游县,8752,3.17,-6.24
178,桓台县,8749,3.61,-0.98
179,盱眙县,8746,9.52,-15.09
180,五指山市,8746,-13.47,6.29
181,无为市,8745,-1.35,-0.39
182,永安市,8722,6.42,-0.94
183,响水县,8717,1.02,-0.56
184,婺源县,8704,-1.09,-4.50
185,泸定县,8693,0,-5.35
186,滦州市,8621,-10.79,0.42
187,康定市,8621,0,1.25
188,望江县,8613,1.81,-0.28
189,新干县,8567,-5.89,-1.18
190,献县,8518,-7.26,2.15
191,嵊泗县,8515,0,1.35
192,镇原县,8502,80.74,0
193,定安县,8465,-16.41,3.40
194,东至县,8422,-4.78,1.33
195,黎川县,8422,0,-21.15
196,定州市,8419,12.76,-1.34
197,诏安县,8408,5.05,-11.26
198,定兴县,8400,1.63,0
199,连江县,8361,0,-11.16
200,宁国市,8346,14.02,-0.01
201,高邮市,8337,7.01,-3.48
202,内丘县,8333,17.37,-2.32
203,博兴县,8317,-2.14,1.99
204,繁昌区,8293,2.67,-2.41
205,秭归县,8234,0,-8.02
206,冠县,8227,0,0.64
207,遵化市,8216,-1.32,0.32
208,绥德县,8200,29.69,-21.21
209,城口县,8200,7.37,0
210,扬中市,8168,0.59,-4.51
211,五常市,8166,0,-1.29
212,平阴县,8137,22.49,1.12
213,广德市,8091,2.04,2.27
214,长沙县,8075,-12.05,4.72
215,会理县,8068,30.76,-10.47
216,寿光市,8066,2.82,-0.09
217,建瓯市,8057,3.83,-1.12
218,昌黎县,8056,-4.22,7.17
219,围场县,8031,4.95,-3.98
220,青县,8023,-5.15,0.06
221,嘉祥县,8021,26.14,-17.02
222,莒县,8012,8.30,-0.25
