序号,城市,单价,同比,环比,收入比
Unit,,元/平方米,%,%,
Remark,
1,上海,67297,-3.21,-3.34,27.38
2,深圳,66750,0,-1.28,37.99
3,北京,65760,1.63,-3.4,26.71
4,厦门,52342,6.27,-3.87,36.97
5,广州,46215,7.44,-11.87,22
6,杭州,39262,7.47,6.11,16.56
7,三亚,37103,5.4,-3.52,33.03
8,南京,35270,3.7,-4.21,17.08
9,东莞,29207,26.01,-2.58,13.55
10,珠海,27203,10.7,-5.07,16.08
11,福州,26646,0.39,0.02,18.88
12,宁波,26639,5.12,2.7,16
13,天津,25652,2.69,-9.96,15.12
14,苏州,24330,9.79,4.03,16.32
15,温州,21626,-2.54,4.22,15.47
16,青岛,21444,4.67,-3.33,16.83
17,丽水,21216,3.05,0.58,12.07
18,合肥,20197,-4.98,7.12,10.79
19,金华,19633,2.55,-0.97,13.04
20,嘉兴,19372,10.08,5.68,9.07
21,武汉,19120,-0.81,-2.31,11.99
22,泉州,18864,13.7,-10.15,12.66
23,无锡,18430,-1.9,1.19,12.75
24,南通,17801,5.18,1.08,11.13
25,海口,17719,6.98,6.32,10.62
26,成都,17391,-8.71,-2.35,10.93
27,台州,17347,8.03,5.48,11.89
28,常州,17112,-1.46,10.75,13.53
29,衢州,16584,-2.84,1.27,9.5
30,佛山,16529,7.01,7.74,9.83
31,西安,16352,-19.91,4.11,12.33
32,绍兴,16351,5.51,7.38,11.35
33,大连,16131,-0.6,-1.05,10.6
34,宁德,15158,7.88,10.88,8.61
35,扬州,15151,-0.39,6.12,10.72
36,莆田,14649,-5.87,10.77,15.3
37,郑州,14617,6.31,-2.61,9.74
38,济南,14337,-8.44,8.36,11.85
39,舟山,14277,0.5,11.46,10
40,湖州,14168,16.67,-0.49,7.86
41,南昌,13798,14.99,1.12,9.21
42,石家庄,13732,-2.05,0.23,11.3
43,昆明,13709,-2.54,0.22,12
44,芜湖,13622,2.46,-0.78,8.7
45,连云港,13450,20.75,2.11,7.77
46,重庆,13258,0.2,4.51,8.15
47,廊坊,13199,0.07,-3.88,9.16
48,泰州,12855,3.7,1.31,9.52
49,大理,12724,-6.8,6.37,12.68
50,南宁,12711,-4.66,0.39,9.41
51,漳州,12703,2.5,9.51,10.68
52,龙岩,12481,-6.64,-3.26,9.66
53,中山,12215,6.31,6.2,8.77
54,兰州,12164,-7.7,0.2,7.74
55,盐城,11923,-14.43,5.9,7
56,汕头,11906,8.21,9.06,10.49
57,惠州,11774,2.72,8.67,7.99
58,拉萨,11565,-2.57,0.85,9.15
59,长沙,11517,6.48,-0.03,8.12
60,沈阳,11402,-9.04,2.73,9.76
61,秦皇岛,11193,1.53,1.89,7.45
62,唐山,11173,-9.63,0.83,8.13
63,徐州,11090,-11.42,14.71,7.99
64,淮安,10784,0.2,4.78,6.97
65,太原,10736,-3.64,1.87,8.92
66,西宁,10716,-2.4,-4.05,5.88
67,呼和浩特,10553,-11.04,1.16,8.15
68,三明,10516,0.98,-3.78,8.71
69,湛江,10304,-4.05,-0.26,7.22
70,邯郸,10266,9.47,1.49,6.61
71,泰安,10211,3.25,0.25,9.1
72,临沂,10169,9.71,17.93,8.85
73,潮州,10036,19.04,-6.04,8.89
74,镇江,9961,3.54,2,8.04
75,黄山,9943,2.22,-5.25,6.87
76,咸阳,9940,7.7,-1.25,6.61
77,沧州,9849,3.07,4.94,7.46
78,长春,9777,-0.95,2.09,8.1
79,洛阳,9759,-4.37,3.07,8.35
80,马鞍山,9728,-1.26,1.81,5.57
81,日照,9636,-0.6,17.57,9.56
82,甘孜,9617,8.28,-0,0
83,聊城,9493,-0.6,0.81,7.63
84,榆林,9443,13.81,13,5.61
85,日喀则,9385,-0.53,0,0
86,烟台,9380,-1.51,11.24,7.44
87,哈尔滨,9342,-8.6,15.46,7.85
88,保定,9223,-2.49,1.8,6.83
89,贵阳,9117,-5.32,1.85,6.95
90,宿迁,9031,-7.19,12.03,6.68
91,池州,9012,-1.04,1.52,5.66
92,凉山,8946,-1.69,11.63,5.28
93,阿坝,8885,4.39,5.79,0
94,长治,8864,-3.02,2.2,5.95
95,赣州,8842,1.33,13.26,6.15
96,天水,8793,-4.97,10.32,5.25
97,九江,8752,4.61,1.86,5.35
98,江门,8695,-4.57,-1.89,7.8
99,承德,8655,-6.29,-1.33,5.79
100,儋州,8635,-7.3,15.69,0
101,柳州,8582,-5.81,-0.27,7.22
102,枣庄,8579,-1.13,-0.57,6.47
103,淄博,8476,-4.55,-0.99,7.25
104,南平,8444,0.43,0.66,6.6
105,乌鲁木齐,8417,-5.85,0.69,5.32
106,威海,8410,-6.65,14.03,6.64
107,晋城,8384,-5.14,12.89,5.6
108,济宁,8364,1.81,13.99,7.12
109,神农架,8328,26.09,0,0
110,铜陵,8170,-4.52,2.29,5.24
111,庆阳,8136,4.44,2.6,0
112,鄂尔多斯,8113,6.61,1.44,5.44
113,赤峰,8103,-7.46,0.16,5.56
114,襄阳,8099,-4.54,14.13,0
115,济源,8081,4.84,17.56,0
116,德州,8078,-12.13,1.63,5.99
117,蚌埠,8071,-2.89,-0.08,0
118,濮阳,7972,0.91,-0.85,4.65
119,宜昌,7958,-5.54,-1.21,5.93
120,绵阳,7920,8.21,17.7,5.85
121,上饶,7914,-0.84,1.86,6.27
122,滨州,7904,-2.07,-2.54,7.25
123,包头,7890,-1.61,0.31,5.03
124,安庆,7832,-5.07,2.53,5.02
125,宣城,7821,2.83,1.38,5.08
126,银川,7805,-0.03,-0.31,5.91
127,潍坊,7788,2.3,0.37,6.4
128,吉安,7760,-0.28,1.46,6.22
129,宜春,7716,-4.65,1.7,5.89
130,淮北,7626,-0.7,2.29,4.52
131,阜阳,7587,-0.88,-0.94,6.48
132,东营,7533,-9.31,11.44,8.41
133,丽江,7530,-9.15,0.21,8.53
134,衡水,7436,0.47,0.87,4.62
135,宿州,7411,-0.4,4.12,4.93
136,汕尾,7407,4.46,-1.48,5.96
137,山南,7388,-18.86,0,0
138,鹰潭,7355,4.22,2.8,4.78
139,茂名,7354,-0.45,-1.23,5.66
140,玉溪,7321,-9.9,1.36,8.05
141,普洱,7264,-2.25,-0.52,0
142,广元,7232,-0.48,17.1,4.02
143,吉林,7188,0,-0.95,4.19
144,邢台,7134,-2.26,1.84,5.5
145,保山,7123,-12.25,-0.84,9.3
146,滁州,7119,4.05,1.24,4.78
147,新余,7058,2.89,15.74,4.83
148,林芝,7039,-2.44,2.67,0
149,抚州,7033,-1.87,19.69,5.34
150,晋中,7032,-4.1,2.24,0
151,临汾,7005,0.32,1.39,4.33
152,清远,6984,0.09,-4.65,5.61
153,新乡,6971,-3.49,1.34,6.76
154,眉山,6957,-1.64,0.47,4.44
155,临沧,6951,0.77,16.64,0
156,景德镇,6945,0.84,-2.07,0
157,桂林,6888,3.05,-0.33,5.89
158,陇南,6854,-5.16,20.79,0
159,商洛,6848,7.55,3.64,0
160,大同,6795,-0.15,-5.75,4.14
161,鄂州,6790,-4.77,18.25,5.79
162,张家口,6779,-16.83,1.22,5.37
163,宜宾,6714,6.61,24.78,4.08
164,梅州,6706,-2.06,-0.45,5.74
165,开封,6662,2.46,1.25,5.66
166,六安,6600,-3.34,1.36,5.21
167,张家界,6594,1.6,-0.93,4.84
168,肇庆,6581,4.73,16.7,5.3
169,淮南,6550,0.12,-2.73,4.14
170,遂宁,6532,2.11,0.46,4.18
171,亳州,6530,-0.65,2.89,5.15
172,丹东,6529,-11.63,4.46,4.63
173,西双版纳,6521,-10.51,16.75,0
174,南阳,6521,-15.08,17.14,5.96
175,德宏,6499,-8.96,2.65,0
176,德阳,6481,4.41,2.4,4.52
177,岳阳,6477,5.92,2.13,5.68
178,武威,6414,-4.04,17.42,0
179,自贡,6406,2.48,-3.67,3.68
180,许昌,6398,2.5,1.7,4.7
181,河源,6396,-6.34,-11.95,5.66
182,石河子,6389,7.94,14.97,0
183,忻州,6386,6.27,19.37,0
184,揭阳,6378,-6.21,-0.34,7.14
185,泸州,6372,-4.94,-2.25,4.67
186,克拉玛依,6365,27.3,0.01,0
