Year,Exam,Enroll,Ratio
2022,1193,,
2021,1078,1001,92.89%
2020,1071,967,90.34%
2019,1031,820,79.53%
2018,975,791,81.13%
2017,940,700,74.46%
2016,940,705,75%
2015,942,700,74.30%
2014,939,698,74.30%
2013,912,694,76%
2012,915,685,75%
2011,933,675,72%
2010,946,657,69%
2009,1020,629,62%
2008,1050,599,57%
2007,1010,566,56%
2006,950,546,57%
2005,877,504,57%
2004,729,447,61%
2003,613,382,62%
2002,510,320,63%
2001,454,268,59%
2000,375,221,59%
1999,288,160,56%
1998,320,108,34%
1997,278,100,36%
1996,241,97,40%
1995,253,93,37%
1994,251,90,36%
1993,286,98,34%
1992,303,75,25%
1991,296,62,21%
1990,283,61,22%
1989,266,60,23%
1988,272,67,25%
1987,228,62,27%
1986,191,57,30%
1985,176,62,35%
1984,164,48,29%
1983,167,39,23%
1982,187,32,17%
1981,259,28,11%
1980,333,28,8%
1979,468,28,6%
1978,610,40.2,7%
1977,570,27,5%
