Year,Export,Import,Balance
2000-01,42.0,38.9,3.1
2000-02,46.4,39.3,7.1
2000-03,52.2,46.0,6.1
2000-04,45.3,40.0,5.3
2000-05,52.2,47.7,4.5
2000-06,49.6,43.0,6.6
2000-07,49.8,43.9,5.9
2000-08,47.2,44.3,2.9
2000-09,49.0,44.7,4.3
2000-10,56.8,50.0,6.8
2000-11,56.9,52.1,4.8
2000-12,50.0,48.4,1.7
2001-01,51.9,46.2,5.7
2001-02,52.1,44.9,7.2
2001-03,56.1,46.4,9.7
2001-04,52.9,46.7,6.2
2001-05,54.7,46.5,8.2
2001-06,53.7,46.0,7.7
2001-07,55.4,45.9,9.4
2001-08,51.6,42.6,9.0
2001-09,49.6,42.6,7.1
2001-10,57.2,47.6,9.7
2001-11,54.9,47.5,7.4
2001-12,48.2,39.9,8.3
2002-01,50.3,39.8,10.5
2002-02,51.8,41.3,10.6
2002-03,54.6,42.3,12.2
2002-04,56.0,46.0,10.0
2002-05,50.5,40.1,10.4
2002-06,56.7,45.4,11.3
2002-07,55.9,42.6,13.2
2002-08,51.7,41.3,10.5
2002-09,55.2,43.3,11.8
2002-10,58.9,47.4,11.5
2002-11,58.9,46.6,12.3
2002-12,50.8,42.5,8.4
2003-01,53.6,44.3,9.3
2003-02,54.0,43.3,10.7
2003-03,56.0,46.1,9.9
2003-04,53.9,44.8,9.1
2003-05,54.5,44.1,10.4
2003-06,54.3,43.9,10.3
2003-07,58.0,44.1,13.8
2003-08,49.9,39.7,10.2
2003-09,58.5,44.1,14.4
2003-10,58.4,47.4,11.0
2003-11,58.9,48.6,10.2
2003-12,54.7,44.1,10.6
2004-01,55.5,43.0,12.5
2004-02,56.5,44.3,12.3
2004-03,64.8,48.2,16.6
2004-04,61.6,47.2,14.4
2004-05,60.5,46.4,14.1
2004-06,62.7,47.9,14.8
2004-07,62.2,48.6,13.6
2004-08,55.9,45.0,10.9
2004-09,61.6,49.6,11.9
2004-10,64.1,51.7,12.4
2004-11,66.5,54.7,11.8
2004-12,59.7,48.9,10.8
2005-01,60.6,47.2,13.3
2005-02,59.8,46.1,13.6
2005-03,65.2,49.0,16.3
2005-04,64.5,52.1,12.4
2005-05,63.6,51.6,12.0
2005-06,68.7,52.4,16.3
2005-07,64.5,51.0,13.5
2005-08,63.3,51.0,12.2
2005-09,69.4,54.5,14.9
2005-10,68.6,56.8,11.8
2005-11,71.5,58.6,13.0
2005-12,66.6,57.7,8.9
2006-01,68.3,55.9,12.4
2006-02,70.0,57.1,12.8
2006-03,76.7,62.3,14.4
2006-04,69.6,58.8,10.8
2006-05,72.3,60.2,12.1
2006-06,73.1,61.1,12.0
2006-07,72.7,60.2,12.5
2006-08,69.1,58.1,10.9
2006-09,79.2,63.9,15.2
2006-10,83.7,66.7,17.0
2006-11,85.1,66.9,18.1
2006-12,73.4,62.6,10.8
2007-01,77.1,60.9,16.2
2007-02,77.3,63.3,14.0
2007-03,83.5,65.4,18.1
2007-04,78.4,63.6,14.8
2007-05,78.6,61.7,16.9
2007-06,81.5,65.0,16.5
2007-07,81.1,63.3,17.8
2007-08,77.4,63.2,14.2
2007-09,81.5,63.3,18.2
2007-10,88.5,69.6,18.9
2007-11,87.4,68.0,19.4
2007-12,73.0,62.5,10.5
2008-01,83.3,66.3,17.1
2008-02,83.5,66.4,17.1
2008-03,82.8,66.0,16.8
2008-04,88.8,69.7,19.0
2008-05,79.7,65.4,14.4
2008-06,87.4,67.6,19.8
2008-07,86.1,71.9,14.1
2008-08,74.9,64.0,10.8
2008-09,86.3,71.0,15.3
2008-10,88.7,72.0,16.7
2008-11,76.1,66.1,10.0
2008-12,66.7,59.4,7.3
2009-01,63.6,56.2,7.4
2009-02,63.8,55.0,8.8
2009-03,70.2,58.8,11.4
2009-04,64.4,54.3,10.1
2009-05,60.7,50.3,10.3
2009-06,66.9,53.2,13.7
2009-07,70.6,55.0,15.6
2009-08,60.1,51.1,9.0
2009-09,70.9,59.4,11.5
2009-10,72.5,60.0,12.5
2009-11,72.3,56.3,16.0
2009-12,67.5,55.0,12.5
2010-01,63.4,55.1,8.3
2010-02,70.0,56.8,13.2
2010-03,85.6,69.3,16.2
2010-04,75.2,62.2,13.0
2010-05,76.2,66.0,10.1
2010-06,85.3,71.2,14.1
2010-07,81.4,68.4,13.0
2010-08,74.4,64.9,9.5
2010-09,86.0,69.5,16.5
