Rank,NationalTeam,WRScore
1,Poland,385
2,Brazil,370
3,Russia,352
4,France,351
5,Italy,327
6,USA,315
7,Argentina,288
8,Slovenia,279
9,Serbia,272
10,Japan,259
11,Iran,245
12,Cuba,215
13,Canada,214
14,Germany,210
15,Netherlands,201
16,Tunisia,189
17,China,176
18,Turkey,175
19,Mexico,174
20,Egypt,167
21,Qatar,166
22,Ukraine,163
23,Bulgaria,156
24,Puerto Rico,152
25,Cameroon,151
26,Czech Republic,151
27,Chile,147
28,Finland,144
29,Belgium,144
30,Chinese Taipei,141
31,Dominican Republic,130
32,Korea,127
33,Croatia,126
34,Portugal,126
35,Australia,123
36,Belarus,121
37,Colombia,120
38,Romania,119
39,Pakistan,116
40,Morocco,115
41,Switzerland,113
42,Venezuela,110
43,Spain,109
44,Greece,108
45,Slovak Republic,107
46,Estonia,105
47,North Macedonia,102
48,Montenegro,100
49,Sweden,98
50,Azerbaijan,96
51,Austria,94
52,Israel,94
53,Peru,93
54,Thailand,92
55,Luxembourg,91
56,Norway,90
57,Kazakhstan,89
58,Latvia,89
59,Kenya,89
60,Denmark,88
61,Guatemala,87
62,Hungary,86
63,India,85
64,Algeria,84
65,Uganda,80
66,Congo Democratic Republic,79
67,Albania,79
68,Bosnia and Herzegovina,78
69,Suriname,78
70,Burundi,75
71,Rwanda,74
72,Bahrain,74
73,Trinidad & Tobago,73
74,Nigeria,66
75,Georgia,64
76,Congo,58
77,Saudi Arabia,54
78,Cyprus,52
79,Sri Lanka,50
80,Iceland,49
81,Moldova,48
82,Mali,48
83,Niger,41
84,Ethiopia,39
85,Indonesia,38
86,Ecuador,38
87,Uzbekistan,38
88,South Sudan,38
89,"Hong Kong, China",37
90,Burkina Faso,36
91,Kuwait,35
92,Oman,33
93,Chad,30
94,Botswana,21
95,Bolivia,14
96,New Zealand,10
97,Tanzania,9
98,Costa Rica,9
98,St. Lucia,9
98,St. Vincent & Grenadines,9
101,Barbados,8
101,Dominica,8
101,Haiti,8
104,Antigua & Barbuda,7
104,Bangladesh,7
104,Fiji,7
104,Jamaica,7
104,Kosovo,7
104,Kyrgyzstan,7
104,Libya,7
104,"Macao, China",7
104,Maldives Islands,7
104,Myanmar,7
104,Northern Ireland,7
104,Tonga,7
104,United Arab Emirates,7
104,Uruguay,7
104,Vietnam,7
119,Anguilla,6
119,Bahamas,6
119,Dutch Antilles,6
119,Faroe Islands,6
119,Mauritius,6
119,Scotland,6
119,St. Kitts & Nevis,6
126,Andorra,5
126,Aruba,5
126,Belize,5
126,Bermuda,5
126,British Virgin Islands,5
126,Cayman Islands,5
126,Côte d'Ivoire,5
126,El Salvador,5
126,Eswatini,5
126,Grenada,5
126,Honduras,5
126,Montserrat,5
126,Mozambique,5
126,Nicaragua,5
126,Panama,5
126,Paraguay,5
126,Virgin Islands,5
143,Afghanistan,0
143,Angola,0
143,Armenia,0
143,Benin,0
143,Bhutan,0
143,Brunei Negara Darussalam,0
143,Cambodia,0
143,Cape Verde,0
143,Central African Republic,0
143,"Comoros, Fed. & Islamic Rep.",0
143,Cook Islands,0
143,Djibouti,0
143,East Timor,0
143,England,0
143,Equatorial Guinea,0
143,Eritrea,0
143,French Guiana,0
143,French Polynesia,0
143,Gabon,0
143,Gambia,0
143,Gibraltar,0
143,Greenland,0
143,Guam,0
143,Guinea,0
143,Guinea-Bissau,0
143,Guyana,0
143,Iraq,0
143,Ireland,0
143,Jordan,0
143,"Kiribati, Republic of",0
143,Korea DPR,0
143,Laos PDR,0
143,Lebanon,0
143,Lesotho,0
143,Liberia,0
143,Liechtenstein,0
143,Lithuania,0
143,Madagascar,0
143,Malawi,0
143,Malaysia,0
143,Malta,0
143,Marshall Islands,0
143,"Mauritania, Islamic Rep. of",0
143,Micronesia,0
143,"Monaco, Principality of",0
143,Mongolia,0
143,Namibia,0
143,"Nauru, Republic of",0
143,Nepal,0
143,Niue Island,0
143,Northern Mariana Island,0
143,Palau,0
143,Palestine,0
143,Papua-New Guinea,0
143,Philippines,0
143,Samoa,0
143,"Samoa, American",0
143,San Marino,0
143,Sao Tome and Principe,0
143,Senegal,0
143,Seychelles,0
143,Sierra Leone,0
143,Singapore,0
143,Solomon Islands,0
143,Somalia,0
143,South Africa,0
143,Sudan,0
143,Syria,0
143,Tadjikistan,0
143,Togo,0
143,Turkmenistan,0
143,Tuvalu,0
143,Vanuatu,0
143,Wales,0
143,Yemen,0
143,Zambia,0
143,Zimbabwe,0
220,Ghana,-7
