Area,Province,行政区域面积,乡,镇,街道办事处,户籍人口,地区生产总值,第一产业增加值,第二产业增加值,第三产业增加值,地方一般公共预算收入,地方一般公共预算支出,住户储蓄存款余额,年末金融机构各项贷款余额,设施农业种植占地面积,油料产量,棉花产量,规模以上工业企业,固定电话用户,普通中学在校学生,小学在校学生,医疗卫生机构床位,提供住宿的社会工作机构,提供住宿的社会工作机构床位
Unit,省份,平方公里,个,个,个,人,万元,万元,万元,万元,万元,万元,万元,万元,公顷,吨,吨,个,户,人,人,床,个,床
Remark,
奉贤区,上海市、江苏省,733,,8,3,533864,11901900,99800,7501600,4300500,1615955,2592170,11418786,14817519,3340,137,,1063,199788,24546,35256,5215,37,6979,,
崇明区,上海市、江苏省,1413,2,16,,675841,3818300,225900,997100,2595300,1190015,3854224,7477495,7859273,1073,1068,19,121,189432,15410,15593,3009,51,7787,,
浦口区,上海市、江苏省,911,,,5,793300,13859300,483400,4698300,8677600,701179,798258,8719800,20599300,6300,1778,,456,112393,24216,58035,3424,18,2529,,
江宁区,上海市、江苏省,1563,,,10,1209100,25093200,705300,13286900,11101000,2643573,2468423,14313700,26741900,12300,9713,166,956,229806,46599,95103,9621,59,7898,,
六合区,上海市、江苏省,1471,,1,8,949500,16760100,722600,9934200,6103300,463615,857022,7721800,12618700,15167,6261,10,539,54071,32171,48614,3915,40,4340,,
宜良县,云南省,1914,2,4,3,437305,2112550,703382,396615,1012553,88318,281845,1941061,1248565,2624,612,,70,11680,18355,24728,3600,6,395,,
石林彝族自治县,云南省,1680,1,3,3,255171,1170737,307270,161690,701777,62215,239268,906747,769345,1902,799,,37,15330,13392,16863,1785,9,251,,
嵩明县,云南省,831,,3,2,313065,1526704,228550,434598,863556,131093,244469,1457621,1120388,7733,15,,99,18025,16047,25061,2167,5,800,,
禄劝彝族苗族自治县,云南省,4240,6,9,2,487910,1464998,416355,220413,828230,50095,382655,899051,1226138,186,4137,,17,7512,13307,25763,2611,7,750,,
寻甸回族彝族自治县,云南省,3588,4,9,3,576411,1437654,383477,243161,811016,70335,389373,1246221,1082224,2042,3182,,35,14280,32370,34406,3299,5,308,,
安宁市,云南省,1301,,,9,283593,5723616,209559,3446114,2067943,501011,623884,2684900,4478975,1412,2517,,97,25635,18889,23632,4406,9,1870,,
沾益区,云南省,2815,5,2,4,444452,3055331,598486,1160235,1296610,83836,267691,1076200,1136800,168,750,,86,7410,28565,40573,1591,11,300,,
马龙区,云南省,1598,3,2,5,214440,915786,166240,399607,349939,65211,214560,556163,637835,117,1749,,43,3505,14093,11917,893,6,455,,
陆良县,云南省,1989,2,7,2,699962,2696864,847698,788014,1061152,98679,417122,1733361,1369846,507,1263,,69,22879,39000,53090,2905,14,1134,,
师宗县,云南省,2784,3,4,3,440340,1720253,477610,530626,712017,72252,304000,847428,905832,94,34504,,39,8800,29402,43044,2459,7,930,,
罗平县,云南省,3015,6,4,3,658904,2739074,710931,788292,1239851,90281,374838,1165438,1084163,67,151612,,54,8469,39115,56787,4321,35,511,,
富源县,云南省,3251,1,9,2,844128,2469632,585373,935849,948410,139483,501899,1408258,1192150,608,16244,,102,20100,52246,74209,3706,11,984,,
会泽县,云南省,5884,13,7,5,1073700,2876526,793666,833616,1249244,141325,1026333,1469440,1569391,882,2144,,39,23344,68796,70620,5500,30,2468,,
宣威市,云南省,6053,7,13,9,1549299,4061245,971302,1168744,1921199,155900,937316,3054805,1822438,6867,376,,107,24300,106469,111192,7322,13,1847,,
江川区,云南省,850,2,4,1,286821,1467367,273556,449512,744299,56726,210537,1097631,1385276,1305,7522,,43,6822,11723,15403,871,6,457,,
通海县,云南省,740,3,4,2,292534,1722550,261477,427120,1033953,41241,188955,1366533,1053589,558,1373,,73,10090,12500,20976,1564,6,265,,
华宁县,云南省,1313,1,3,1,213696,1194838,264086,220129,710623,32709,185048,662888,644751,20,3000,,29,5216,10195,13034,740,4,368,,
易门县,云南省,1527,4,1,2,164993,1325161,155298,475109,694754,72496,208768,660115,626970,308,2363,,54,4806,6365,7934,986,8,776,,
峨山彝族自治县,云南省,1972,3,3,2,155970,1176238,175930,319680,680628,39462,185688,546043,621537,1,8341,,26,5103,6602,8193,731,67,1045,,
新平彝族傣族自治县,云南省,4223,6,4,2,280455,2138601,295292,879253,964056,128829,353562,744761,985033,579,1590,,32,5800,12872,17443,1467,64,1649,,
元江哈尼族彝族傣族自治县,云南省,2858,5,2,3,211701,1242585,313028,336035,593522,38557,198099,487506,600159,,3329,,21,5452,10402,15690,862,9,348,,
澄江市,云南省,773,,4,2,174704,1406387,132746,272604,1001037,79585,363235,895851,1255430,,194,,21,5678,6774,10988,632,5,282,,
施甸县,云南省,2009,8,5,,348296,900820,245816,240034,414970,61322,287070,790545,834578,698,1948,,26,7606,14469,24258,2087,3,166,,
龙陵县,云南省,2884,5,5,,305775,1229980,343267,502480,384233,59335,306375,789146,830053,7,872,,38,4203,17121,26072,1185,8,638,,
昌宁县,云南省,3888,4,9,,355754,1631925,529740,604896,497289,59332,300008,711317,1016960,1559,5775,,59,8327,17289,21631,2115,5,541,,
腾冲市,云南省,5845,7,10,1,690827,2823458,550417,1136653,1136388,166048,778040,2401405,3070391,153,50298,,64,24015,75070,52365,3859,15,969,,
昭阳区,云南省,2193,7,10,3,968131,3658440,376101,1588898,1693441,150624,723578,2691556,5576254,98,94,,27,16460,72055,92816,6557,3,807,,
鲁甸县,云南省,1484,2,10,,480128,824377,171272,291587,361518,40960,378606,502011,493581,2879,1061,,13,4744,32714,43663,1629,9,521,,
巧家县,云南省,3197,4,12,,625621,1030288,353545,268803,407940,53179,469762,956167,928311,332,932,,9,4149,34350,43243,2366,9,1288,,
盐津县,云南省,2092,4,6,,397481,558044,147231,108346,302467,17329,327329,592094,359228,24,7751,,9,2200,22780,28060,1850,6,1068,,
大关县,云南省,1721,1,8,,291133,419023,105327,83046,230650,11433,274284,473741,361707,124,601,,5,7455,13343,18028,1107,3,680,,
永善县,云南省,2778,7,8,,478527,1396173,208907,835632,351634,75933,446207,900528,677870,1704,6546,,7,6880,26974,33569,2201,6,650,,
绥江县,云南省,749,,5,,170911,370216,65423,102137,202656,31804,192193,514249,303609,79,1230,,4,3842,5132,11288,983,2,380,,
镇雄县,云南省,3696,7,20,3,1686055,2178227,392679,576359,1209189,88198,1318330,1879816,2257682,85,4989,,38,12314,130044,157445,7930,11,1510,,
彝良县,云南省,2799,5,10,,635344,1011107,286548,287723,436836,51894,537628,721619,682000,3,5612,,12,6592,25965,55425,1728,6,566,,
威信县,云南省,1400,3,7,,455617,668338,121130,160349,386859,25108,326678,773185,625174,34,4852,,10,4350,25379,39008,2066,3,538,,
水富市,云南省,443,,3,1,109675,774996,33675,524787,216534,37939,166189,429908,789049,3,768,,11,6899,11522,8438,1019,2,314,,
