Province,居民人均可支配收入,农村居民人均可支配收入,城镇居民人均可支配收入,城乡居民收入水平对比
Unit,元/人,元/人,元/人,倍
Remark,2-6 2020年各地区城乡居民收入水平,注:本表数据来源于国家统计局开展的全国住户收支与生活状况调查。,
全国,32188.8,17131.5,43833.8,2.56
北京,69433.5,30125.7,75601.5,2.51
天津,43854.1,25690.6,47658.5,1.86
河北,27135.9,16467,37285.7,2.26
山西,25213.7,13878,34792.7,2.51
内蒙古,31497.3,16566.9,41353.1,2.5
辽宁,32738.3,17450.3,40375.9,2.31
吉林,25751.0,16067,33395.7,2.08
黑龙江,24902.0,16168.4,31114.7,1.92
上海,72232.4,34911.3,76437.3,2.19
江苏,43390.4,24198.5,53101.7,2.19
浙江,52397.4,31930.5,62699.3,1.96
安徽,28103.2,16620.2,39442.1,2.37
福建,37202.4,20880.3,47160.3,2.26
江西,28016.5,16980.8,38555.8,2.27
山东,32885.7,18753.2,43726.3,2.33
河南,24810.1,16107.9,34750.3,2.16
湖北,27880.6,16305.9,36705.7,2.25
湖南,29379.9,16584.6,41697.5,2.51
广东,41028.6,20143.4,50257,2.49
广西,24562.3,14814.9,35859.3,2.42
海南,27904.1,16278.8,37097,2.28
重庆,30823.9,16361.4,40006.2,2.45
四川,26522.1,15929.1,38253.1,2.4
贵州,21795.4,11642.3,36096.2,3.1
云南,23294.9,12841.9,37499.5,2.92
西藏,21744.1,14598.4,41156.4,2.82
陕西,26226.0,13316.5,37868.2,2.84
甘肃,20335.1,10344.3,33821.8,3.27
青海,24037.4,12342.5,35505.8,2.88
宁夏,25734.9,13889.4,35719.6,2.57
新疆,23844.7,14056.1,34838.4,2.48
