Year,乡村人口数,乡村人口占总人口比重,乡村就业人员,第一产业就业人口
Unit,万人,%,万人,万人
Remark,3-2 2020年各地区乡村人口和乡村就业人员,注:1.本表人口数据为2020年第七次全国人口普查时点(11月1日零时)数据。部分数据因四舍五入的原因，存在总计与分项合计不等的情况。2.本表就业人员数据为根据劳动力调查和第七次全国人口普查推算数。
全国,50979,36.1,28793,17715
北京,273,12.5,146,28
天津,212,15.3,109,36
河北,2979,39.9,1572,815
山西,1308,37.5,736,424
内蒙古,782,32.5,458,443
辽宁,1187,27.9,750,631
吉林,899,37.4,533,472
黑龙江,1095,34.4,550,538
上海,266,10.7,172,27
江苏,2251,26.6,1412,675
浙江,1797,27.8,1102,208
安徽,2543,41.7,1452,815
福建,1298,31.3,727,323
江西,1788,39.6,968,455
山东,3751,37.0,2164,1373
河南,4429,44.6,2293,1223
湖北,2143,37.1,1389,897
湖南,2740,41.2,1409,836
广东,3258,25.9,1621,767
广西,2296,45.8,1219,866
海南,401,39.7,223,171
重庆,979,30.5,576,378
四川,3621,43.3,2256,1542
贵州,1807,46.9,915,634
云南,2358,50.0,1514,1226
西藏,234,64.3,120,69
陕西,1476,37.3,870,632
甘肃,1195,47.8,713,597
青海,236,39.9,109,71
宁夏,252,35.0,124,83
新疆,1124,43.5,591,460
