3-6 各地区主要农业机械年末拥有量
地区,农业机械总动力
(万千瓦),,大中型拖拉机
(万台),,,
,2019年,2020年,2019年,2020年,,

Province,农业机械总动力Y2019,农业机械总动力Y2020,大中型拖拉机Y2019,大中型拖拉机Y2020
Unit,万千瓦,万千瓦,万台,万台
Remark,3-6 各地区主要农业机械年末拥有量,
全国,102758.3,105622.1,443.9,477.3,,
北京,122.8,120.2,0.4,0.4,,
天津,359.8,365.1,1.3,1.3,,
河北,7830.7,7965.7,28.0,30.6,,
山西,1517.6,1595.3,10.5,11.3,,
内蒙古,3866.4,4056.6,35.4,39.1,,
辽宁,2353.9,2471.3,17.7,19.2,,
吉林,3653.7,3896.9,34.1,38.5,,
黑龙江,6359.1,6775.1,57.8,63.7,,
上海,98.0,102.1,0.8,0.7,,
江苏,5112.0,5213.8,16.8,17.2,,
浙江,1908.0,1813.2,1.4,1.6,,
安徽,6650.5,6799.5,24.4,26.3,,
福建,1237.7,1260.2,0.5,0.6,,
江西,2470.7,2591.0,4.3,5.1,,
山东,10679.8,10964.7,48.2,50.4,,
河南,10357.0,10463.7,37.3,39.7,,
湖北,4515.7,4626.1,17.2,18.2,,
湖南,6471.8,6589.0,11.7,10.8,,
广东,2455.8,2495.4,2.5,2.6,,
广西,3840.0,3901.4,5.4,5.5,,
海南,581.2,615.6,2.1,2.3,,
重庆,1464.7,1498.0,0.2,0.2,,
四川,4682.3,4754.0,7.4,7.6,,
贵州,2484.6,2582.4,1.9,1.9,,
云南,2714.4,2786.7,6.9,7.3,,
西藏,559.0,576.8,6.8,7.0,,
陕西,2331.5,2388.0,10.4,11.0,,
甘肃,2174.0,2289.5,9.7,11.5,,
青海,484.2,491.4,1.3,1.2,,
宁夏,632.2,644.1,4.2,4.6,,
新疆,2789.0,2929.4,37.0,39.7,,
注:2018年,农业农村部根据工业和信息化部标准对拖拉机的分类重新定义,把大中型拖拉机和小型拖拉机的分类标准由发,,,,,,
动机功率14.7千瓦改为22.1千瓦,大中型拖拉机配套农具口径改为“与58.8千瓦及以上拖拉机配套”。同时,取消小型拖,,,,,,
