Province,农林牧渔业总产值Y2019,农林牧渔业总产值Y2020,农业产值Y2019,农业产值Y2020,林业产值Y2019,林业产值Y2020,牧业产值Y2019,牧业产值Y2020,渔业产值Y2019,渔业产值Y2020,农林牧渔专业及辅助性活动产值Y2019,农林牧渔专业及辅助性活动产值Y2020
Unit,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元
Remark,6-4 各地区农林牧渔业总产值
全国,123967.9,137782.2,66066.5,71748.2,5775.7,5961.6,33064.3,40266.7,12572.4,12775.9,6489,7029.8
北京,281.7,263.4,102.3,107.6,115.6,97.7,49.3,45.2,5.3,4.1,9.1,8.8
天津,414.4,476.4,202.9,228.8,24.9,15.7,100.4,145.5,71.4,68.1,14.7,18.4
河北,6061.5,6742.5,3114.9,3413.3,231.4,255.4,2035.4,2309.7,212.5,243.2,467.3,520.9
山西,1626.5,1935.8,936.8,1075.9,101.3,137.1,478.6,606.3,6.9,6.6,103,109.9
内蒙古,3176.3,3472.4,1606.3,1699,100.9,89.8,1390.5,1603.4,27.8,27.8,50.8,52.4
辽宁,4368.2,4582.6,1912,2056.8,117.4,121,1479.5,1604.7,669.6,617.5,189.7,182.5
吉林,2442.7,2976,1014.1,1231.8,68.1,71.9,1239.6,1547.4,40.1,41.4,80.8,83.4
黑龙江,5930,6438.1,3774.5,4044.1,193.9,192.4,1671.8,1913,123.1,115.6,166.6,173.1
上海,284.8,279.8,145.8,138,18.3,15.2,48.2,55.1,55,51,17.6,20.6
江苏,7503.2,7952.6,3828.6,4102.2,162,172.8,1213,1315.8,1741,1774,558.5,587.8
浙江,3355.2,3496.9,1595,1594,185.5,189.6,395.2,472.6,1080.9,1130.6,98.7,110.2
安徽,5162.1,5680.9,2365.4,2525.4,351.3,387.5,1628.9,1900.2,521.3,542.6,295.2,325.3
福建,4636.6,4901.1,1774.8,1818.2,417.3,390.6,914.4,1141.1,1361.7,1373.1,168.4,178.1
江西,3481.3,3820.7,1624.3,1689.9,342.8,367.8,888.9,1125.4,476.5,473.5,148.8,164.1
山东,9671.7,10190.6,4914.4,5168.4,197.7,214.2,2412.1,2571.9,1397.4,1432.1,750.1,804.1
河南,8541.8,9956.3,5408.6,6244.8,140.8,126.7,2316.5,2855.8,118.2,117.6,557.8,611.4
湖北,6681.9,7303.6,3257.9,3492.5,258.5,245.4,1521.5,1864.8,1152.7,1156.8,491.4,544.2
湖南,6405.1,7512,3052.1,3364.8,430.7,428,2003.1,2721.6,441.8,477.5,477.4,520
广东,7175.9,7901.9,3530.2,3769.3,408.5,414.3,1404.1,1778.2,1524.8,1581.5,308.3,358.6
广西,5498.8,5913.3,3102.3,3268.8,410.5,437.4,1189.7,1423.8,538.9,508.3,257.4,275.1
海南,1689.4,1821,819.6,874.8,106.4,121.2,300.8,357.1,390.9,390.8,71.7,77.2
重庆,2337.8,2749.1,1397.5,1596.1,113.1,126,679.5,871.9,105.3,107.3,42.4,47.7
四川,7889.3,9216.4,4395,4701.9,372.2,379.8,2647.9,3613.8,263.5,287.5,210.7,233.4
贵州,3889,4358.6,2535.7,2781.8,275.4,293.7,829.6,1019,57.7,61.1,190.6,203.1
云南,4935.7,5920.5,2680.2,2902.2,395.5,429.5,1600.7,2315.4,105.4,104,153.9,169.4
西藏,212.8,233.5,94.9,104,3.5,3.7,108.4,119.7,0.4,0.1,5.6,6
陕西,3536.8,4056.6,2445.8,2807.1,106.1,116.9,757.2,893.4,31.4,30,196.3,209.3
甘肃,1887.6,2103.6,1306.4,1423.8,38.1,31.7,395.6,495.3,2,2,145.5,150.8
青海,454.4,507.1,181.3,188.6,11.3,11.9,250.8,295.1,3.9,3.9,7.1,7.6
宁夏,584.8,703.1,330.8,397.9,11.2,10.9,197.8,246.6,17.4,19,27.7,28.7
新疆,3850.6,4315.6,2616.3,2936.3,65.6,66,915.3,1038.1,27.5,27.2,226,248
