6-5 2020年各地区农业分项产值
(按当年价格计算),,,,,,,,
单位:亿元,,,,,,,,
地 区,农业,1.谷物及其他作物,,,,,,
,,,#谷物,,,,,
,,,,#小麦,稻谷,玉米,,
全 国,71748.2,25542.4,16066.6,3138.2,6512.5,5718.1,,
北 京,107.6,9.3,6.8,1.3,0.1,5.1,,
天 津,228.8,64.2,59.4,14.6,24.9,19.0,,
河 北,3413.3,1130.7,803.1,342.6,18.1,396.0,,
山 西,1075.9,419.1,321.6,52.5,0.5,221.5,,
内蒙古,1699.0,1311.1,824.1,39.4,46.2,492.3,,
辽 宁,2056.8,652.4,556.2,0.5,115.4,425.9,,
吉 林,1231.8,904.3,779.1,0.4,196.3,565.0,,
黑龙江,4044.1,2878.1,2061.7,5.1,1068.7,980.9,,
上 海,138.0,32.2,27.9,1.1,26.4,0.3,,
江 苏,4102.2,1402.9,1170.2,312.9,648.1,92.6,,
浙 江,1594.0,259.0,174.5,8.0,155.0,10.3,,
安 徽,2525.4,1301.0,1050.2,413.8,447.5,181.5,,
福 建,1818.2,259.2,134.4,0.0,128.4,4.5,,
江 西,1689.9,750.9,574.3,1.9,565.2,6.3,,
山 东,5168.4,1871.7,1124.9,567.7,38.1,513.9,,
河 南,6244.8,2214.9,1463.3,861.3,122.8,473.2,,
湖 北,3492.5,1094.3,755.8,101.2,572.4,80.8,,
湖 南,3364.8,1161.6,838.5,2.2,751.8,78.1,,
广 东,3769.3,769.0,375.0,0.0,349.8,25.1,,
广 西,3268.8,1010.4,394.9,0.1,309.4,84.7,,
海 南,874.8,96.9,41.4,,41.4,,,
重 庆,1596.1,372.8,213.4,1.4,139.4,70.8,,
四 川,4701.9,1467.0,736.2,64.8,383.6,276.9,,
贵 州,2781.8,437.2,178.6,7.7,106.7,47.7,,
云 南,2902.2,903.4,399.0,19.6,209.4,167.1,,
西 藏,104.0,55.0,38.4,4.6,0.3,0.9,,
陕 西,2807.1,486.2,300.6,100.4,22.1,147.0,,
甘 肃,1423.8,528.2,246.9,56.5,0.3,128.3,,
青 海,188.6,73.8,20.7,9.2,,3.4,,
宁 夏,397.9,146.6,81.4,7.6,14.2,55.7,,
新 疆,2936.3,1479.2,314.0,139.7,10.0,163.4,,
,,,,,,,,
,,,,,,,,
6-5 续表1,,,,,,,,
单位:亿元,,,,,,,,
地 区,,,,,,,,
,#薯类,#油料,花生,油菜籽,#豆类,大豆,,
全 国,1654.7,2330.4,1188.0,810.2,1233.0,1053.0,,
北 京,1.1,0.3,0.2,,0.2,0.2,,
天 津,1.2,0.2,0.2,,0.4,0.4,,
河 北,130.0,78.7,66.1,3.7,17.0,11.3,,
山 西,53.4,8.1,1.0,1.1,18.6,11.8,,
内蒙古,75.0,142.9,7.4,14.0,107.7,89.8,,
辽 宁,3.5,51.5,41.5,0.1,8.5,6.1,,
吉 林,21.0,57.0,53.8,0.0,34.4,28.5,,
黑龙江,32.0,16.4,8.7,0.0,536.6,523.6,,
上 海,0.0,0.3,0.0,0.3,0.1,0.1,,
江 苏,35.4,70.6,31.1,32.1,44.4,31.3,,
浙 江,11.0,24.7,5.4,18.6,22.0,13.9,,
安 徽,8.0,115.1,58.5,49.0,54.1,48.6,,
福 建,37.1,22.8,21.7,0.9,9.0,6.6,,
江 西,13.8,77.4,43.0,30.6,21.0,18.8,,
山 东,76.6,139.3,136.7,1.5,33.7,33.1,,
河 南,70.2,445.4,373.2,35.8,43.4,39.5,,
湖 北,45.8,202.3,54.6,126.9,23.8,20.7,,
湖 南,31.3,178.9,20.6,147.5,27.8,22.2,,
广 东,98.2,105.4,104.1,0.6,9.1,7.0,,
广 西,15.2,73.8,70.1,1.2,15.2,9.0,,
海 南,16.8,7.0,6.8,,1.4,1.0,,
重 庆,66.5,43.3,9.3,32.6,21.2,9.2,,
四 川,386.3,238.8,51.3,184.3,67.4,62.7,,
贵 州,78.3,50.1,5.9,35.8,19.4,12.6,,
云 南,85.2,30.6,4.9,25.5,51.5,20.8,,
西 藏,0.5,3.2,0.0,3.2,0.8,0.1,,
陕 西,69.7,46.3,11.0,25.7,22.4,17.7,,
甘 肃,128.0,35.5,0.1,18.7,13.1,3.2,,
青 海,20.7,16.1,,16.0,2.4,,,
宁 夏,30.8,4.5,0.0,0.6,0.8,0.2,,
新 疆,12.0,43.8,0.6,3.7,5.6,3.1,,
