6-6 2020年各地区林业分项产值
(按当年价格计算),,,,,
单位:亿元,,,,,
地 区,林业产值,1.林木的培育和种植,2.竹木采运,,3.林产品
,,,,#村及村以下,
全 国,5961.6,2389.2,1460.6,440.3,2092.7
北 京,97.7,95.1,2.6,,
天 津,15.7,13.6,2.1,,0.0
河 北,255.4,196.0,7.3,7.3,33.0
山 西,137.1,135.4,1.5,1.5,0.2
内蒙古,89.8,82.5,3.4,,3.9
辽 宁,121.0,46.1,74.2,,0.8
吉 林,71.9,40.4,16.0,0.5,15.5
黑龙江,192.4,85.8,23.8,,82.7
上 海,15.2,15.0,0.1,,0.1
江 苏,172.8,123.4,34.7,,14.7
浙 江,189.6,6.0,40.4,13.1,143.1
安 徽,387.5,79.3,123.8,35.8,184.4
福 建,390.6,42.1,152.7,117.6,195.7
江 西,367.8,90.5,99.0,,178.4
山 东,214.2,80.1,51.8,,82.3
河 南,126.7,46.3,13.7,11.6,66.7
湖 北,245.4,129.1,69.3,38.5,46.9
湖 南,428.0,177.0,67.8,,183.2
广 东,414.3,35.1,134.8,130.0,244.4
广 西,437.4,37.6,276.0,,123.7
海 南,121.2,37.2,28.5,,55.4
重 庆,126.0,103.1,7.7,1.3,15.3
四 川,379.8,175.2,113.5,,91.1
贵 州,293.7,228.9,21.8,2.2,43.0
云 南,429.5,83.9,84.6,79.0,261.0
西 藏,3.7,2.6,0.9,0.2,0.1
陕 西,116.9,94.3,3.9,0.8,18.7
甘 肃,31.7,24.2,0.4,0.3,7.1
青 海,11.9,11.2,0.1,,0.5
宁 夏,10.9,9.5,0.6,0.4,0.8
新 疆,66.0,62.5,3.5,,
