6-7 2020年各地区畜牧业分项产值
,,,,,,,,6-7 续表,,,,,,
(按当年价格计算),,,,,,,,单位:亿元,,,,,,
单位:亿元,,,,,,,,地 区,2.猪的饲养,3.家禽饲养,,,4.狩猎和捕猎动物,5.其他畜牧业
地 区,牧业产值,1.牲畜饲养,,,,,,,,,#肉禽,禽蛋,,
,,,牛,羊,奶产品,,,全 国,19676.5,9187.7,5904.4,3253.6,16.1,1218.3
全 国,40266.7,10168.1,4904.6,3397.3,1529.8,,,北 京,8.0,19.8,7.5,12.3,,0.4
北 京,45.2,16.9,4.3,1.9,9.9,,,天 津,71.1,26.7,13.5,13.2,,3.2
天 津,145.5,44.5,20.9,5.3,16.9,,,河 北,1054.6,431.3,141.7,289.6,,77.3
河 北,2309.7,746.5,319.4,247.9,170.0,,,山 西,290.5,113.8,37.5,76.4,0.0,7.1
山 西,606.3,194.9,64.9,73.1,46.2,,,内蒙古,210.0,96.5,46.0,50.5,,19.5
内蒙古,1603.4,1277.4,327.2,665.0,235.5,,,辽 宁,403.5,645.8,485.9,159.9,0.1,10.8
辽 宁,1604.7,544.5,352.8,77.8,75.4,,,吉 林,597.2,366.2,240.0,126.2,,30.1
吉 林,1547.4,553.8,465.0,58.9,11.5,,,黑龙江,716.0,343.6,244.7,98.8,,37.6
黑龙江,1913.0,815.8,506.4,106.5,190.4,,,上 海,31.2,6.7,2.4,2.5,,0.3
上 海,55.1,16.9,0.9,2.1,13.8,,,江 苏,626.9,503.7,253.1,245.2,1.2,81.1
江 苏,1315.8,102.9,14.1,60.5,25.0,,,浙 江,297.5,90.9,57.2,33.6,2.4,52.7
浙 江,472.6,29.1,4.4,15.0,8.9,,,安 徽,1018.5,557.1,371.5,185.6,2.5,74.9
安 徽,1900.2,247.2,69.9,146.5,10.6,,,福 建,512.5,542.7,451.8,90.9,0.7,22.0
福 建,1141.1,63.2,22.4,21.4,19.4,,,江 西,689.7,330.2,249.0,81.2,3.4,25.3
江 西,1125.4,76.8,50.8,14.9,5.7,,,山 东,960.0,937.1,522.6,414.5,2.1,181.7
山 东,2571.9,491.0,202.6,148.2,131.9,,,河 南,1622.5,543.6,207.2,314.1,0.1,63.0
河 南,2855.8,626.6,325.7,214.8,77.1,,,湖 北,1139.7,469.0,224.9,244.1,0.1,15.1
湖 北,1864.8,240.9,151.3,82.0,7.2,,,湖 南,2053.4,402.2,195.9,206.2,2.9,28.6
湖 南,2721.6,234.6,117.3,113.9,3.3,,,广 东,1000.3,632.6,584.1,48.6,,90.2
广 东,1778.2,55.0,24.0,13.0,18.0,,,广 西,730.0,403.0,378.6,24.4,,155.2
广 西,1423.8,135.6,115.3,14.3,6.0,,,海 南,175.7,127.2,120.4,6.8,,3.4
海 南,357.1,50.8,34.2,16.3,0.2,,,重 庆,537.7,194.4,144.1,50.3,,29.8
重 庆,871.9,110.0,61.1,47.2,1.7,,,四 川,2272.4,760.8,499.8,261.0,,92.9
四 川,3613.8,487.7,235.1,201.0,32.2,,,贵 州,556.7,206.2,175.1,31.1,,2.8
贵 州,1019.0,253.3,193.1,57.1,3.0,,,云 南,1376.9,191.4,139.8,51.6,0.1,38.7
云 南,2315.4,708.4,455.9,225.6,23.8,,,西 藏,2.8,1.6,0.6,0.8,,2.1
西 藏,119.7,113.2,63.4,19.5,21.7,,,陕 西,404.4,122.5,52.9,69.6,0.5,37.3
陕 西,893.4,328.6,95.7,127.4,94.1,,,甘 肃,106.4,31.2,14.3,16.8,,2.4
甘 肃,495.3,355.3,165.2,145.7,31.5,,,青 海,11.9,3.9,2.2,1.7,0.3,3.3
青 海,295.1,275.7,131.2,107.2,32.8,,,宁 夏,33.6,16.7,7.2,9.5,,0.9
宁 夏,246.6,195.4,57.6,58.0,77.8,,,新 疆,164.7,69.5,33.1,36.5,,28.4
新 疆,1038.1,775.5,252.5,308.8,128.2,,,,,,,,,
