6-8 2020年各地区渔业分项产值
,,,,,,,,,,6-8 续表,,,,,
(按当年价格计算),,,,,,,,,,单位:亿元,,,,,
单位:亿元,,,,,,,,,,地 区,2.内陆水产品,,,,
地 区,渔业产值,1.海水产品,,,,,,,,,,#养殖,鱼 类,甲壳类,贝 类
,,,#养殖,鱼 类,甲壳类,贝 类,藻类,,,全 国,6783.4,5902.5,4414.9,1932.4,43.1
全 国,12775.9,5992.4,2806.9,2043.8,1613.2,1531.4,206.5,,,北 京,3.3,,2.7,0.0,0.0
北 京,4.1,0.8,,0.8,,,,,,天 津,54.8,,36.3,16.4,0.0
天 津,68.1,13.2,2.3,8.0,3.7,0.3,1.3,,,河 北,57.9,48.1,42.5,14.5,0.0
河 北,243.2,185.3,120.4,55.2,78.8,32.2,0.0,,,山 西,6.6,6.3,6.5,0.0,
山 西,6.6,,,,,,,,,内蒙古,27.8,25.2,26.7,0.4,
内蒙古,27.8,,,,,,,,,辽 宁,79.9,76.3,70.4,8.8,
辽 宁,617.5,537.6,460.5,218.5,19.0,269.1,20.6,,,吉 林,41.4,36.5,39.6,1.8,0.0
吉 林,41.4,,,,,,,,,黑龙江,115.6,105.5,101.0,12.8,
黑龙江,115.6,,,,,,,,,上 海,27.3,27.1,13.4,10.4,
上 海,51.0,23.7,,13.0,2.2,0.0,,,,江 苏,1221.6,1065.8,481.2,660.8,16.5
江 苏,1774.0,552.4,328.7,113.6,125.8,260.4,10.3,,,浙 江,289.8,255.0,168.1,49.7,2.3
浙 江,1130.6,840.8,244.2,329.9,234.9,129.9,23.9,,,安 徽,542.6,511.4,263.2,259.3,7.9
安 徽,542.6,,,,,,,,,福 建,195.1,,151.6,39.7,1.8
福 建,1373.1,1178.0,,329.0,283.6,341.8,96.9,,,江 西,473.5,460.5,330.3,83.6,4.9
江 西,473.5,,,,,,,,,山 东,221.9,208.4,161.8,55.6,0.3
山 东,1432.1,1210.2,847.0,343.5,264.4,333.1,46.8,,,河 南,117.6,110.8,95.0,20.3,1.7
河 南,117.6,,,,,,,,,湖 北,1156.8,880.1,670.7,421.8,1.5
湖 北,1156.8,,,,,,,,,湖 南,477.5,471.3,330.8,129.6,2.1
湖 南,477.5,,,,,,,,,广 东,787.8,774.9,628.3,104.0,1.2
广 东,1581.5,793.7,525.3,366.8,347.5,64.8,5.5,,,广 西,205.3,197.4,171.1,1.9,0.7
广 西,508.3,303.0,219.3,54.3,145.5,94.8,,,,海 南,37.1,35.1,35.6,0.9,0.1
海 南,390.8,353.7,59.1,211.2,107.8,5.0,1.2,,,重 庆,107.3,103.2,101.1,4.5,0.0
重 庆,107.3,,,,,,,,,四 川,287.5,280.5,255.0,24.7,0.4
四 川,287.5,,,,,,,,,贵 州,61.1,51.4,56.2,3.2,1.2
贵 州,61.1,,,,,,,,,云 南,104.0,95.4,98.6,4.3,0.3
云 南,104.0,,,,,,,,,西 藏,0.1,0.0,0.0,,
西 藏,0.1,,,,,,,,,陕 西,30.0,25.6,27.5,1.0,
陕 西,30.0,,,,,,,,,甘 肃,2.0,2.0,2.0,,
甘 肃,2.0,,,,,,,,,青 海,3.9,3.9,3.9,,
青 海,3.9,,,,,,,,,宁 夏,19.0,17.9,18.6,0.3,
宁 夏,19.0,,,,,,,,,新 疆,27.2,26.6,25.3,2.0,0.0
新 疆,27.2,,,,,,,,,,,,,,
