Province,Y1990,Y1995,Y2000,Y2016,Y2017,Y2018,Y2019,Y2020,Y2020比Y2019
Unit,千公顷,千公顷,千公顷,千公顷,千公顷,千公顷,千公顷,千公顷,%
Remark,7-4 各地区农作物总播种面积
全国,148362.3,149879.3,156299.8,166939.0,166331.9,165902.4,165930.7,167487.1,100.9
北京,590.3,553.2,457.3,145.5,120.9,103.8,88.6,98.2,110.9
天津,573.2,572.7,533.1,443.7,439.5,429.3,410.3,419.2,102.2
河北,8786.7,8720.1,9024.4,8467.5,8381.6,8197.1,8132.7,8089.4,99.5
山西,4016.3,3895.6,4042.4,3591.5,3577.6,3555.2,3524.4,3541.5,100.5
内蒙古,4722.4,5079.4,5914.4,8957.2,9014.2,8824.1,8885.0,8882.8,100.0
辽宁,3618.9,3623.7,3622.0,4242.7,4172.3,4207.1,4217.1,4287.8,101.7
吉林,4039.8,4059.8,4542.2,6063.2,6086.2,6080.9,6117.1,6151.0,100.6
黑龙江,8558.5,8647.4,9329.5,14829.5,14767.6,14673.3,14770.1,14910.1,100.9
上海,631.1,542.1,520.7,303.8,284.9,282.3,261.4,255.2,97.6
江苏,8259.2,7909.0,7944.9,7639.9,7556.4,7520.2,7442.6,7478.4,100.5
浙江,4384.7,3923.0,3554.3,1946.5,1981.1,1978.7,1999.6,2014.5,100.7
安徽,8313.6,8354.2,9005.8,8790.1,8726.7,8771.1,8782.0,8818.0,100.4
福建,2745.9,2835.1,2793.3,1548.8,1549.3,1577.3,1599.3,1631.3,102.0
江西,5758.1,5950.6,5650.8,5668.9,5638.5,5555.8,5521.2,5644.4,102.2
山东,10882.6,10837.3,11147.3,11278.6,11107.8,11076.8,10933.1,10889.1,99.6
河南,11889.7,12136.8,13136.9,14902.7,14732.5,14783.4,14714.0,14688.0,99.8
湖北,7361.1,7413.7,7584.1,7908.5,7956.1,7952.9,7815.9,7974.4,102.0
湖南,7951.8,7840.4,8002.1,8341.5,8322.0,8111.1,8122.8,8400.1,103.4
广东,5671.5,5304.3,5156.9,4181.6,4227.5,4279.4,4357.4,4451.8,102.2
广西,5141.3,5745.7,6260.7,5966.7,5969.9,5972.4,5989.2,6107.3,102.0
海南,821.3,870.0,906.0,731.9,709.4,712.9,676.2,676.9,100.1
重庆,,,3590.8,3333.1,3339.6,3348.5,3345.7,3372.5,100.8
四川,12475.3,12838.8,9609.1,9493.8,9575.1,9615.3,9693.0,9849.9,101.6
贵州,3578.8,4203.1,4696.7,5604.8,5659.4,5477.2,5481.6,5475.3,99.9
云南,4492.1,4958.9,5786.0,6786.6,6790.8,6890.8,6938.9,6989.7,100.7
西藏,213.5,219.3,231.1,263.1,254.1,270.4,271.5,272.1,100.2
陕西,4859.8,4496.9,4555.4,4160.2,4063.9,4091.0,4132.1,4160.8,100.7
甘肃,3611.3,3773.3,3740.2,3749.2,3752.0,3773.6,3831.6,3931.8,102.6
青海,544.7,568.8,553.7,557.7,555.3,557.3,553.5,571.4,103.2
宁夏,888.9,956.0,1016.5,1118.8,1132.6,1164.6,1153.0,1174.2,101.8
新疆,2979.5,3050.2,3391.6,5921.3,5887.0,6068.9,6170.0,6280.0,101.8
