Province,BirthRate,DeathRate,NaturalGrowthRate
Unit,%,%,%
全国,8.52,7.07,1.45
北京,6.99,5.19,1.80
天津,5.99,5.92,0.07
河北,8.16,7.22,0.94
山西,8.26,7.02,1.24
内蒙古,7.20,7.30,-0.10
辽宁,5.16,8.59,-3.43
吉林,4.84,7.81,-2.97
黑龙江,3.75,8.23,-4.48
上海,5.02,5.58,-0.56
江苏,6.65,6.49,0.16
浙江,7.13,6.56,0.57
安徽,9.45,7.96,1.49
福建,9.21,6.24,2.97
江西,9.48,6.61,2.87
山东,8.56,7.25,1.31
河南,9.24,7.15,2.09
湖北,8.28,7.67,0.61
湖南,8.53,7.92,0.61
广东,10.28,4.70,5.58
广西,11.36,6.46,4.90
海南,10.36,5.85,4.51
重庆,7.47,7.70,-0.23
四川,7.60,8.48,-0.88
贵州,13.70,7.17,6.53
云南,10.96,7.92,3.04
西藏,13.96,5.37,8.59
陕西,8.95,7.11,1.84
甘肃,10.55,7.91,2.64
青海,11.43,6.65,4.78
宁夏,11.59,5.88,5.71
新疆,6.94,5.46,1.48
