Province,Male,Female,NoSchooling,PrimarySchool,JuniorSecondarySchool,SeniorSecondarySchool,College,University,GraduateAndHigherLevel
Unit,%,%,%,%,%,%,%,%,%
全国,56.6,43.4,2.4,16.3,41.7,17.5,11.3,9.8,1.1
北京,55.3,44.7,0.2,1.9,18.2,16.8,19.2,33.5,10.3
天津,64.9,35.1,0.3,5.6,31.4,20.9,16.8,22.2,3.0
河北,57.5,42.5,1.3,11.9,50.4,16.9,10.5,8.2,0.7
山西,60.2,39.8,1.0,11.2,44.5,19.0,12.8,10.6,0.9
内蒙古,58.6,41.4,1.7,16.4,41.5,15.2,13.6,11.0,0.7
辽宁,56.4,43.6,0.5,12.4,49.5,14.3,10.7,11.6,1.0
吉林,55.5,44.5,0.7,18.9,45.3,15.3,9.2,9.7,0.9
黑龙江,58.6,41.4,0.7,17.1,47.6,15.6,9.8,8.7,0.6
上海,57.8,42.2,0.5,4.8,28.1,16.7,17.7,26.2,6.0
江苏,56.3,43.7,2.3,13.6,38.5,18.8,13.7,11.7,1.4
浙江,57.4,42.6,1.5,15.8,35.6,18.4,13.9,13.4,1.3
安徽,56.6,43.4,6.6,17.7,43.7,13.5,10.2,7.6,0.7
福建,58.3,41.7,2.0,17.6,40.6,17.5,10.8,10.8,0.7
江西,56.3,43.7,2.2,20.5,44.5,16.1,9.1,7.0,0.5
山东,55.9,44.1,3.8,14.9,45.0,17.6,9.8,7.9,1.0
河南,54.7,45.3,2.6,12.8,47.5,20.1,9.7,6.7,0.6
湖北,55.6,44.4,2.6,17.2,41.0,19.4,10.2,8.2,1.3
湖南,56.3,43.7,0.8,12.8,42.5,23.0,11.6,8.6,0.7
广东,59.9,40.1,0.7,10.5,40.7,23.4,13.8,9.9,0.9
广西,55.6,44.4,0.8,16.8,52.1,15.2,8.5,6.3,0.4
海南,55.2,44.8,1.0,10.8,48.1,19.8,10.7,9.1,0.5
重庆,55.5,44.5,1.7,21.5,33.7,19.1,13.2,10.2,0.8
四川,54.1,45.9,3.6,26.7,37.0,14.8,9.8,7.4,0.7
贵州,56.9,43.1,6.7,31.2,38.4,9.7,6.8,7.0,0.3
云南,53.9,46.1,4.6,30.9,39.2,11.1,7.2,6.5,0.5
西藏,53.3,46.7,19.6,50.8,12.9,4.4,5.0,7.2,0.2
陕西,57.5,42.5,2.3,13.9,42.5,18.0,12.8,9.5,1.0
甘肃,55.3,44.7,6.9,26.0,36.1,14.2,8.7,7.6,0.5
青海,58.1,41.9,7.2,22.8,33.0,13.4,12.0,11.3,0.4
宁夏,58.6,41.4,6.0,14.8,36.5,15.9,13.9,12.1,0.7
新疆,53.7,46.3,1.1,16.8,40.3,16.5,13.6,11.1,0.6
