Province,FoodProduct,Scale
北京市,30.53,0.05%
天津市,228.18,0.34%
河北省,3795.89,5.67%
山西省,1424.27,2.13%
内蒙古自治区,3664.1,5.47%
辽宁省,2338.83,3.49%
吉林省,3803.17,5.68%
黑龙江省,7540.78,11.26%
上海市,91.44,0.14%
江苏省,3729.06,5.57%
浙江省,605.7,0.90%
安徽省,4019.22,6.00%
福建省,502.32,0.75%
江西省,2163.88,3.23%
山东省,5446.81,8.14%
河南省,6825.8,10.20%
湖北省,2727.43,4.07%
湖南省,3015.12,4.50%
广东省,1267.56,1.89%
广西壮族自治区,1370.02,2.05%
海南省,145.47,0.22%
重庆市,1081.42,1.62%
四川省,3527.43,5.27%
贵州省,1057.63,1.58%
云南省,1895.86,2.83%
西藏自治区,102.87,0.15%
陕西省,1274.83,1.90%
甘肃省,1202.21,1.80%
青海省,107.42,0.16%
宁夏回族自治区,380.49,0.57%
新疆维吾尔自治区,1583.4,2.37%
