Province,Total,Export,Import
北京市,115005601,29501695,85503906
天津市,125765698,40574114,85191584
河北省,100082027,50030792,50051235
山西省,21993650,14221591,7772058
内蒙古自治区,20575473,6517963,14057509
辽宁省,118260577,45988471,72272106
吉林省,19588258,4661205,14927052
黑龙江省,20534528,5410227,15124300
上海市,478776906,167261919,311514987
江苏省,684371106,397390421,286980685
浙江省,465044988,351776359,113268629
安徽省,75224892,47780443,27444449
福建省,172095783,110908865,61186918
江西省,50932240,35022865,15909375
山东省,353474472,179467137,174007335
河南省,104459906,65953300,38506606
湖北省,61649425,38131699,23517726
湖南省,47862053,30667720,17194333
广东省,1206212399,756102067,450110332
广西壮族自治区,66703246,21228072,45475174
海南省,16580488,4006571,12573917
重庆市,83982947,55027076,28955871
四川省,117306653,65817537,51489117
贵州省,7480070,5902100,1577970
云南省,34356745,17041934,17314811
西藏自治区,282377,252166,30211
陕西省,51300416,26736810,24563606
甘肃省,5704697,1808967,3895730
青海省,310856,182260,128596
宁夏回族自治区,2927568,2239168,688400
新疆维吾尔自治区,27067106,12340092,14727014
