Province,FruitProduct,Scale
北京市,53.81,0.19%
天津市,56.39,0.20%
河北省,1424.36,4.96%
山西省,909.77,3.17%
内蒙古自治区,238.7,0.83%
辽宁省,851.29,2.97%
吉林省,146.55,0.51%
黑龙江省,170.09,0.59%
上海市,43.94,0.15%
江苏省,974.17,3.40%
浙江省,755.27,2.63%
安徽省,741.52,2.58%
福建省,764.58,2.66%
江西省,712.82,2.48%
山东省,2938.91,10.24%
河南省,2563.43,8.93%
湖北省,1066.83,3.72%
湖南省,1150.75,4.01%
广东省,1882.57,6.56%
广西壮族自治区,2785.74,9.71%
海南省,495.63,1.73%
重庆市,514.82,1.79%
四川省,1221.3,4.26%
贵州省,548.11,1.91%
云南省,961.58,3.35%
西藏自治区,2.16,0.01%
陕西省,2070.55,7.22%
甘肃省,778.96,2.71%
青海省,2.91,0.01%
宁夏回族自治区,204.45,0.71%
新疆维吾尔自治区,1660.39,5.79%
