Province,Total,985,211,DoubleTop,Pure985,Pure211,PureDoubleTop
北京市,92,8,26,34,8,18,8
江苏省,168,2,11,16,2,9,5
上海市,64,4,10,15,4,6,5
广东省,160,2,4,8,2,2,4
四川省,134,2,5,8,2,3,3
陕西省,97,3,8,8,3,5,0
湖北省,130,2,7,7,2,5,0
天津市,56,2,4,5,2,2,1
湖南省,130,3,4,5,3,1,1
辽宁省,114,2,4,4,2,2,0
黑龙江省,78,1,4,4,1,3,0
吉林省,66,1,3,3,1,2,0
浙江省,109,1,1,3,1,0,2
安徽省,121,1,3,3,1,2,0
山东省,153,2,3,3,2,1,0
山西省,82,,1,2,,1,1
福建省,89,1,2,2,1,1,0
江西省,106,,1,1,,1,0
河南省,156,,1,2,,1,1
重庆市,70,1,2,2,1,1,0
新疆维吾尔自治区,55,,2,2,,2,0
河北省,124,,1,1,,1,0
内蒙古自治区,54,,1,1,,1,0
广西壮族自治区,85,,1,1,,1,0
海南省,21,,1,1,,1,0
贵州省,75,,1,1,,1,0
云南省,82,,1,1,,1,0
西藏自治区,7,,1,1,,1,0
甘肃省,49,1,1,1,1,0,0
青海省,12,,1,1,,1,0
宁夏回族自治区,20,,1,1,,1,0
