Province,Total,Book,PerBook
Unit,个,万册,册/人
北京市,23,3133.09,1.43
天津市,27,2175.12,1.57
河北省,176,3432.31,0.46
山西省,128,2152.88,0.62
内蒙古自治区,117,2049.59,0.85
辽宁省,129,4533.18,1.06
吉林省,66,2258.15,0.94
黑龙江省,103,2356.53,0.74
上海市,23,8091.75,3.25
江苏省,120,10546.24,1.24
浙江省,104,9867.39,1.53
安徽省,131,3545.81,0.58
福建省,97,4606.32,1.11
江西省,114,2857.01,0.63
山东省,154,6975.47,0.69
河南省,166,4065.3,0.41
湖北省,117,4416.1,0.76
湖南省,143,3922.77,0.59
广东省,148,11687.33,0.93
广西壮族自治区,116,3003.06,0.6
海南省,24,665.32,0.66
重庆市,43,1997.49,0.62
四川省,207,4350.47,0.52
贵州省,100,1673.59,0.43
云南省,149,2344.02,0.5
西藏自治区,81,249.14,0.68
陕西省,117,2155.26,0.55
甘肃省,104,1813.97,0.73
青海省,50,581.89,0.98
宁夏回族自治区,27,802.71,1.11
新疆维吾尔自治区,107,1512.75,0.59
