Province,Total,Male,Female
Unit,岁,岁,岁
全国,77.93,75.37,80.88
北京,82.49,80.43,84.62
天津,81.30,79.32,83.40
河北,77.75,75.20,80.52
山西,77.91,75.64,80.47
内蒙古,77.56,74.98,80.45
辽宁,78.68,75.96,81.54
吉林,78.41,75.62,81.40
黑龙江,78.25,75.33,81.42
上海,82.55,80.39,84.87
江苏,79.32,77.02,81.83
浙江,80.19,78.09,82.58
安徽,77.96,75.52,80.72
福建,78.49,75.81,81.55
江西,77.64,78.08,80.52
山东,79.18,76.46,82.11
河南,77.60,74.59,80.84
湖北,78.00,75.73,80.53
湖南,77.88,75.36,80.75
广东,79.31,76.75,82.22
广西,78.06,74.64,81.98
海南,79.05,75.83,82.84
重庆,78.56,75.86,81.64
四川,77.79,75.01,80.93
贵州,75.20,72.09,78.71
云南,74.02,70.98,77.55
西藏,72.19,70.27,74.75
陕西,77.80,75.59,80.24
甘肃,75.64,73.64,77.85
青海,73.96,71.72,76.43
宁夏,76.58,74.89,78.40
新疆,75.65,73.66,77.89
