Index,Province,2021Year,2020Year,Incremental,
,河南省,9883,9941,-58,
,江苏省,8505,8477,28,
,四川省,8372,8371,1,
,河北省,7448,7464,-16,
,宁夏回族自治区,725,721,4,
,湖南省,6622,6645,-23,
,浙江省,6540,6468,72,
,安徽省,6113,6105,8,
,青海省,594,593,1,
,湖北省,5830,5745,85,
,广西壮族自治区,5037,5019,18,
,云南省,4690,4722,-32,
,江西省,4517,4519,-2,
,辽宁省,4229,4255,-26,
,福建省,4187,4161,26,
,陕西省,3954,3955,-1,
,贵州省,3852,3858,-6,
,西藏,366,366,0,
,山西省,3480,3490,-10,
,重庆市,3212,3209,3,
,黑龙江省,3125,3171,-46,
,新疆维吾尔自治区,2589,2590,-1,
,甘肃省,2490,2501,-11,
,上海市,2489,2488,1,
,内蒙古自治区,2400,2403,-3,
,吉林省,2375,2399,-24,
,北京市,2189,2189,0,
,天津市,1373,1387,-14,
,广东省,12684.00,12624,60,
,海南省,1020,1012,8,
,山东省,10170,10165,5,
,台湾省,2338.00,2357,-19,
,香港,740.00,748,-8,
,澳门,68.00,65,3,
