年份,客运量总计,铁路,公路,水路,民航
Unit,万人,,,,
Remark,,,,,
1949,13695,10297,1809,1562,27
1950,20370,15691,2301,2377,1.04
1951,22334,16037,3350,2945,2.39
1952,24518,16352,4559,3605,2.22
1953,35627,22861,7439,5324,2.84
1954,37465,23290,8648,5523,4.21
1955,36764,20801,10312,5646,4.86
1956,50621,25211,18224,7177,8.84
1957,63821,31262,23772,8780,6.85
1958,75136,34569,31063,9492,12.35
1959,91183,47972,32569,10626,15.96
1960,106700,61822,32524,12333,20.73
1961,119835,77062,27601,15152,20.2
1962,122154,75003,30737,16397,16.88
1963,97538,51985,32857,12678,17.6
1964,94300,45085,37313,11878,23.58
1965,96334,41245,43693,11369,27.21
1966,108656,41413,54437,12780,26.29
1967,114067,46614,53874,13548,30.56
1968,111182,49994,47125,14038,24.97
1969,123859,52040,56266,15531,21.64
1970,130056,52455,61812,15767,21.73
1971,142931,56032,71227,15638,33.63
1972,160828,62809,80676,17297,46.48
1973,174805,65704,89771,19270,60.01
1974,182146,66924,95481,19647,94.19
1975,192969,70465,101350,21015,138.99
1976,201411,71249,108718,21298,146.31
1977,225007,79471,122919,22452,164.57
1978,253993,81491,149229,23042,231
1979,289665,86389,178618,24360,298
1980,341785,92204,222799,26439,343
1981,384763,95219,261559,27584,401.29
1982,428964,99922,300610,27987,445.23
1983,470614,106044,336965,27214,391.45
1984,530217,113353,390336,25974,554.17
1985,620206,112110,476486,30863,747
1986,688211,108579,544259,34377,996
1987,746422,112479,593682,38951,1310
1988,809592,122645,650473,35032,1442
1989,791373.6,113804.6,644508,31778,1283
1990,772682,95712,648085,27225,1660
1991,806048,95080,682681,26109,2178
1992,860855,99693,731774,26502,2886
1993,996634,105458,860719,27074,3383
1994,1092882,108738,953940,26165,4039
1995,1172596,102745,1040810,23924,5117
1996,1245357,94797,1122110,22895,5555
1997,1326094,93308,1204583,22573,5630
1998,1378717,95085,1257332,20545,5755
1999,1394413,100164,1269004,19151,6094
2000,1478573,105073,1347392,19386,6721.66
2001,1534122,105155,1402798,18645,7524
2002,1608150,105606,1475257,18693,8594
2003,1587497,97260,1464335,17142,8759
2004,1767453,111764,1624526,19040,12123
2005,1847018,115583,1697381,20227,13827
2006,2024157.64,125655.8,1860487,22047,15967.84
2007,2227761.21,135670,2050680,22835,18576.21
2008,2867891.96,146192.85,2682114,20334,19251.12
2009,2976897.83,152451.19,2779081,22314,23051.64
2010,3269508.17,167609.02,3052738,22392,26769.14
2011,3526318.73,186226.07,3286220,24556,29316.66
2012,3804034.9,189336.85,3557010,25752,31936.05
2013,2122991.55,210596.92,1853463,23535,35396.63
2014,2032217.81,230460,1736270,26292.93,39194.88
2015,1943271,253484,1619097,27072,43618
2016,1900194.34,281405.23,1542758.67,27234.4,48796.05
2017,1848620.12,308379.34,1456784.33,28300.34,55156.11
2018,1793820.33,337494.67,1367170.39,27981.49,61173.77
2019,1760435.71,366002.26,1301172.91,27267.12,65993.42
2020,966539.71,220349.9,689425,14987,41777.82
2021,830256.63,261170.56,508693.25,16337.06,44055.76
