年份,货运量总计,铁路,公路,水路,海洋(1),民航,管道
Unit,万吨,,,,,,
Remark,注：1.1993年起铁路货物运输增加行包运量(下表同)。,2.2020年起，沿海和远洋合并为海洋；2019年及以前年份为远洋运输数据(下表同)。,,,,,
1949,18713,5589,10579,2543,,2,
1950,24396,9983,11729,2684,,0,
1951,28692,11083,13749,3860,,0,
1952,35605,13217,17247,5141,,0,
1953,49542,16131,26174,7237,,0,
1954,60286,19288,30834,10163,,1,
1955,65083,19376,33991,11715,,1,
1956,82002,24605,43504,13892,,1,
1957,89990,27421,46762,15806,,1,
1958,132377,38109,71726,22540,,2,
1959,206050,54410,117300,34337,,3,
1960,223052,67219,117200,38630,,3,
1961,132477,44988,61583,25903,,3,
1962,92185,35261,38909,18013,,2,
1963,94062,36418,39983,17659,,2,
1964,114168,41786,51336,21044,,2,
1965,133253,49100,59995,24155,,3,
1966,144289,54951,64268,25067,,3,
1967,123804,43089,58843,21868,,4,
1968,115053,42095,52979,19976,,3,
1969,138238,53120,62311,22804,,3,
1970,167913,68132,72929,26848,,4,
1971,194469,76471,86611,30230,,3,1154
1972,211877,80873,95823,32916,,3,2262
1973,225473,83111,104171,35423,,3,2765
1974,223860,78772,106095,35198,,4,3791
1975,251593,88955,117633,38968,,5,6032
1976,253967,84066,122119,39875,,5,7902
1977,290254,95309,142302,43731,,5,8907
1978,319431,110119,151602,47357,3659,6.4,10347
1979,318258,111893,147935,47080,4249,8,11342
1980,310841,111279,142195,46833,4292,9,10525
1981,298642,107673,134499,45532,4530,9,10929
1982,311937,113495,138634,48632,4606,10,11166
1983,323956,118784,144051,49489,4759,12,11620
1984,339995,124074,151835,51527,5545,15,12544
1985,745763,130709,538062,63322,6627,20,13650
1986,853557,135635,620113,82962,7228,22,14825
1987,948229,140653,711424,80979,7984,30,15143
1988,982195,144948,732315,89281,8530,33,15618
1989,988435,151489,733781,87493,9027,31,15641
1990,970602,150681,724040,80094,9408,37,15750
1991,985793,152893,733907,83370,10567,45.2,15578
1992,1045899,157627,780941,92490,11191,57.5,14783
1993,1115902,162794,840256,97938,12508,69.4,14845
1994,1180396,163216,894914,107091,13421,82.9,15092
1995,1234938,165982,940387,113194,15251,101.1,15274
1996,1298421,171024,983860,127430,14213,115,15992
1997,1278218,172149,976536,113406,20287,124.7,16002
1998,1267427,164309,976004,109555,18892,140.1,17419
1999,1293008,167554,990444,114608,22621,170.4,20232
2000,1358682,178581,1038813,122391,22949,196.7,18700
2001,1401786,193189,1056312,132675,27573,171,19439
2002,1483447,204956,1116324,141832,29896,202.1,20133
2003,1564492,224248,1159957,158070,34002,219,21998
2004,1706412,249017,1244990,187394,39469,276.7,24734
2005,1862066,269296,1341778,219648,48549,306.7,31037
2006,2037060,288224,1466347,248703,54413,349.4,33436
2007,2275822,314237,1639432,281199,58903,401.8,40552
2008,2585937,330354,1916759,294510,42352,407.6,43906
2009,2825222,333348,2127834,318996,51733,445.5,44598
2010,3241807,364271,2448052,378949,58054,563,49972
2011,3696961,393263,2820100,425968,63542,557.5,57073
2012,4100436,390438,3188475,458705,65815,545,62274
2013,4098900,396697,3076648,559785,71156,561.3,65209
2014,4167296,381334,3113334,598283,74733,594.1,73752
2015,4175886,335801,3150019,613567,74685,629.3,75870
2016,4386763,333186,3341259,638238,79769,668,73411
2017,4804850,368865,3686858,667846,76030,705.9,80576
2018,5152732,402631,3956871,702684,76969,738.5,89807
2019,4713624,438904,3435480,747225,83243,753.1,91261
2020,4729579,455236,3426413,761630,380087,676.6,85623
2021,5298499,477372,3913889,823973,405095,732,82534
