日期,外汇储备
Unit,亿美元
Remark,
1950年,1.57
1951年,0.45
1952年,1.08
1953年,0.9
1954年,0.88
1955年,1.8
1956年,1.17
1957年,1.23
1958年,0.7
1959年,1.05
1960年,0.46
1961年,0.89
1962年,0.81
1963年,1.19
1964年,1.66
1965年,1.05
1966年,2.11
1967年,2.15
1968年,2.46
1969年,4.83
1970年,0.88
1971年,0.37
1972年,2.36
1973年,-0.81
1974年,0
1975年,1.83
1976年,5.81
1977年,9.52
1978年,1.67
1979年,8.4
1980年,-12.96
1981年,27.08
1982年,69.86
1983年,89.01
1984年,82.2
1985年,26.44
1986年,20.72
1987年,29.23
1988年,33.72
1989年,55.5
1990年,110.93
1991年,217.12
1992年,194.43
1993年,211.99
1994年,516.2
1995年,735.97
1996年,1050.29
1997年,1398.9
1998年,1449.59
1999年,1546.75
2000年,1655.74
2001年,2121.65
2002年,2864.07
2003年,4032.51
2004年,6099.32
2005年,8188.72
2006年,10663.44
2007年,15282.49
2008年,19460.3
2009年,23991.52
2010年,28473.38
2011年,31811.48
2012年,33115.89
2013年,38213.15
2014年,38430.18
2015年,33303.62
2016年,30105.17
2017年,31399.49
2018年1月,31614.57
2018年2月,31344.82
2018年3月,31428.2
2018年4月,31248.52
2018年5月,31106.23
2018年6月,31121.29
2018年7月,31179.46
2018年8月,31097.16
2018年9月,30870.25
2018年10月,30530.98
2018年11月,30616.97
2018年12月,30727.12
2019年1月,30879.24
2019年2月,30901.80
2019年3月,30987.61
2019年4月,30949.53
2019年5月,31010.04
2019年6月,31192.34
2019年7月,31036.97
2019年8月,31071.76
2019年9月,30924.31
2019年10月,31051.61
2019年11月,30955.91
2019年12月,31079.24
2020年1月,31154.97
2020年2月,31067.18
2020年3月,30606.33
2020年4月,30914.59
2020年5月,31016.92
2020年6月,31123.28
2020年7月,31543.91
2020年8月,31646.09
2020年9月,31425.62
2020年10月,31279.82
2020年11月,31784.90
2020年12月,32165.22
2021年1月,32106.71
2021年2月,32049.94
2021年3月,31700.29
2021年4月,31981.80
2021年5月,32218.03
2021年6月,32140.10
2021年7月,32358.90
2021年8月,32321.16
2021年9月,32006.26
2021年10月,32176.14
2021年11月,32223.86
2021年12月,32501.66
2022年1月,32216.32
2022年2月,32138.27
2022年3月,31879.94
2022年4月,31197.20
2022年5月,31277.80
2022年6月,30712.72
