年份,就业人员,第一产业,第二产业,第三产业
Unit,万人,,,,,,,
Remark,,,,,,,,
1952,20729,17317,1531,1881
1953,21364,17747,1715,1902
1954,21832,18151,1882,1799
1955,22328,18592,1913,1823
1956,23018,18544,2468,2006
1957,23771,19309,2142,2320
1958,26600,15490,7076,4034
1959,26173,16271,5402,4500
1960,25880,17016,4112,4752
1961,25590,19747,2856,2987
1962,25910,21276,2059,2575
1963,26640,21966,2038,2636
1964,27736,22801,2183,2752
1965,28670,23396,2408,2866
1966,29805,24297,2600,2908
1967,30814,25165,2661,2988
1968,31915,26063,2743,3109
1969,33225,27117,3030,3078
1970,34432,27811,3518,3103
1971,35620,28397,3990,3233
1972,35854,28283,4276,3295
1973,36652,28857,4492,3303
1974,37369,29218,4712,3439
1975,38168,29456,5152,3560
1976,38834,29443,5611,3780
1977,39377,29340,5831,4206
1978,40152,28318,6945,4890
1979,41024,28634,7214,5177
1980,42361,29122,7707,5532
1981,43725,29777,8003,5945
1982,45295,30859,8346,6090
1983,46436,31151,8679,6606
1984,48197,30868,9590,7739
1985,49873,31130,10384,8359
1986,51282,31254,11216,8811
1987,52783,31663,11726,9395
1988,54334,32249,12152,9933
1989,55329,33225,11976,10129
1990,64749,38914,13856,11979
1991,65491,39098,14015,12378
1992,66152,38699,14355,13098
1993,66808,37680,14965,14163
1994,67455,36628,15312,15515
1995,68065,35530,15655,16880
1996,68950,34820,16203,17927
1997,69820,34840,16547,18432
1998,70637,35177,16600,18860
1999,71394,35768,16421,19205
2000,72085,36043,16219,19823
2001,72797,36399,16234,20165
2002,73280,36640,15682,20958
2003,73736,36204,15927,21605
2004,74264,34830,16709,22725
2005,74647,33442,17766,23439
2006,74978,31941,18894,24143
2007,75321,30731,20186,24404
2008,75564,29923,20553,25087
2009,75828,28890,21080,25857
2010,76105,27931,21842,26332
2011,76196,26472,22539,27185
2012,76254,25535,23226,27493
2013,76301,23838,23142,29321
2014,76349,22372,23057,30920
2015,76320,21418,22644,32258
2016,76245,20908,22295,33042
2017,76058,20295,21762,34001
2018,75782,19515,21356,34911
2019,75447,18652,21234,35561
2020,75064,17715,21543,35806
2021,74652,17072,21712,35868
