货币,日期,收盘,开盘,高,低,涨跌幅
CNY,2022年7月13日,6.7244,6.7248,6.728,6.7176,0.01
CNY,2022年7月12日,6.7234,6.7182,6.7391,6.7178,0.09
CNY,2022年7月11日,6.7175,6.6981,6.7202,6.6965,0.34
CNY,2022年7月8日,6.6945,6.6985,6.7094,6.6917,-0.09
CNY,2022年7月7日,6.7005,6.7119,6.7138,6.6968,-0.10
CNY,2022年7月6日,6.707,6.7164,6.7164,6.7003,-0.18
CNY,2022年7月5日,6.7192,6.6965,6.7249,6.684,0.29
CNY,2022年7月4日,6.6995,6.6997,6.7035,6.686,-0.01
CNY,2022年7月1日,6.7,6.694,6.7181,6.6935,0.03
CNY,2022年6月30日,6.6981,6.7056,6.7063,6.6897,-0.02
CNY,2022年6月29日,6.6997,6.706,6.7097,6.6879,-0.11
CNY,2022年6月28日,6.707,6.6965,6.7144,6.674,0.26
CNY,2022年6月27日,6.6899,6.6876,6.6958,6.6814,0.03
CNY,2022年6月24日,6.6878,6.6946,6.701,6.6838,-0.15
CNY,2022年6月23日,6.698,6.7045,6.7155,6.6965,0.00
CNY,2022年6月22日,6.6983,6.7028,6.7275,6.6965,0.15
CNY,2022年6月21日,6.688,6.6835,6.702,6.6741,-0.03
CNY,2022年6月20日,6.69,6.7092,6.7109,6.6715,-0.39
CNY,2022年6月17日,6.716,6.6979,6.7193,6.6915,0.19
CNY,2022年6月16日,6.703,6.6939,6.719,6.6916,-0.15
CNY,2022年6月15日,6.7128,6.7277,6.7283,6.703,-0.40
CNY,2022年6月14日,6.7395,6.7606,6.7617,6.7133,-0.20
CNY,2022年6月13日,6.753,6.7393,6.7593,6.7264,0.67
CNY,2022年6月10日,6.7081,6.6909,6.7185,6.6789,0.25
CNY,2022年6月9日,6.6915,6.6944,6.7013,6.6635,0.13
CNY,2022年6月8日,6.6825,6.6675,6.6974,6.6625,0.22
CNY,2022年6月7日,6.6675,6.6673,6.679,6.661,0.21
CNY,2022年6月6日,6.6534,6.6418,6.6586,6.6376,-0.11
CNY,2022年6月3日,6.6607,6.6603,6.6607,6.6601,0.02
CNY,2022年6月2日,6.6596,6.693,6.7064,6.6595,-0.39
CNY,2022年6月1日,6.6858,6.6676,6.7009,6.6641,0.21
CNY,2022年5月31日,6.6715,6.6708,6.6754,6.6508,0.18
CNY,2022年5月30日,6.6597,6.7024,6.7026,6.6443,-0.57
CNY,2022年5月27日,6.698,6.752,6.7521,6.6918,-0.59
CNY,2022年5月26日,6.738,6.6916,6.7509,6.6916,0.69
CNY,2022年5月25日,6.6916,6.661,6.6994,6.6564,0.58
CNY,2022年5月24日,6.653,6.6613,6.6806,6.6493,0.06
CNY,2022年5月23日,6.649,6.6768,6.6925,6.6448,-0.64
CNY,2022年5月20日,6.6921,6.7222,6.732,6.6673,-0.24
CNY,2022年5月19日,6.7085,6.7621,6.7705,6.7111,-0.67
CNY,2022年5月18日,6.754,6.7415,6.758,6.7377,0.30
CNY,2022年5月17日,6.7337,6.7783,6.7832,6.7224,-0.72
CNY,2022年5月16日,6.7822,6.778,6.8038,6.7724,-0.09
CNY,2022年5月13日,6.788,6.7916,6.8127,6.7757,0.03
CNY,2022年5月12日,6.786,6.7325,6.7976,6.728,1.00
CNY,2022年5月11日,6.7186,6.7337,6.7386,6.7105,-0.23
CNY,2022年5月10日,6.7343,6.7315,6.7408,6.6898,0.07
CNY,2022年5月9日,6.7295,6.7042,6.7323,6.6916,0.97
CNY,2022年5月6日,6.6651,6.6602,6.6956,6.6592,0.17
CNY,2022年5月5日,6.6535,6.5908,6.6557,6.5908,0.68
CNY,2022年5月4日,6.6085,6.6084,6.6086,6.608,0.00
CNY,2022年5月3日,6.6084,6.6085,6.6089,6.6078,0.00
CNY,2022年5月2日,6.6082,6.6085,6.6087,6.6078,0.00
CNY,2022年4月29日,6.608,6.615,6.6515,6.5841,-0.25
CNY,2022年4月28日,6.6243,6.5607,6.6309,6.5588,0.99
CNY,2022年4月27日,6.5595,6.5613,6.5655,6.5469,0.07
CNY,2022年4月26日,6.5552,6.5608,6.5637,6.5266,-0.05
CNY,2022年4月25日,6.5585,6.5148,6.5792,6.5131,0.88
CNY,2022年4月22日,6.501,6.4516,6.5067,6.4491,0.79
CNY,2022年4月21日,6.45,6.4155,6.454,6.4083,0.49
CNY,2022年4月20日,6.4188,6.4095,6.4211,6.3946,0.40
CNY,2022年4月19日,6.393,6.3691,6.3984,6.3685,0.47
CNY,2022年4月18日,6.363,6.3763,6.3768,6.3641,-0.12
CNY,2022年4月15日,6.3705,6.3777,6.378,6.3673,-0.11
CNY,2022年4月14日,6.3775,6.3664,6.382,6.3621,0.15
CNY,2022年4月13日,6.3678,6.3685,6.3717,6.3628,0.04
CNY,2022年4月12日,6.3651,6.373,6.375,6.3637,-0.01
CNY,2022年4月11日,6.366,6.3655,6.3754,6.3649,0.08
CNY,2022年4月8日,6.361,6.3626,6.3688,6.3556,0.07
CNY,2022年4月7日,6.3564,6.3619,6.3662,6.3563,-0.04
CNY,2022年4月6日,6.359,6.3723,6.3765,6.3562,-0.08
CNY,2022年4月5日,6.3641,6.3634,6.3642,6.3629,0.01
CNY,2022年4月4日,6.3634,6.3631,6.3636,6.3629,0.01
CNY,2022年4月1日,6.3625,6.343,6.3665,6.3422,0.37
CNY,2022年3月31日,6.3393,6.3485,6.3556,6.3371,-0.12
CNY,2022年3月30日,6.347,6.3633,6.3637,6.3457,-0.21
CNY,2022年3月29日,6.3602,6.3693,6.3753,6.3608,-0.18
CNY,2022年3月28日,6.3714,6.3795,6.3819,6.3664,0.09
CNY,2022年3月25日,6.3658,6.3654,6.3684,6.3581,-0.02
CNY,2022年3月24日,6.367,6.3755,6.3783,6.3658,-0.08
CNY,2022年3月23日,6.372,6.365,6.3773,6.3636,0.09
CNY,2022年3月22日,6.366,6.3625,6.3678,6.3574,0.17
CNY,2022年3月21日,6.3552,6.3575,6.3682,6.3511,-0.09
CNY,2022年3月18日,6.3609,6.3498,6.3692,6.347,0.24
CNY,2022年3月17日,6.3459,6.345,6.3548,6.3408,-0.08
CNY,2022年3月16日,6.351,6.3705,6.3707,6.3418,-0.29
CNY,2022年3月15日,6.3696,6.3657,6.3868,6.3657,0.14
CNY,2022年3月14日,6.3607,6.3477,6.3681,6.3447,0.34
CNY,2022年3月11日,6.3389,6.3245,6.3403,6.318,0.28
CNY,2022年3月10日,6.3212,6.3169,6.3264,6.3151,0.06
CNY,2022年3月9日,6.3174,6.3174,6.3286,6.3123,-0.01
CNY,2022年3月8日,6.3178,6.3162,6.3214,6.3095,-0.03
CNY,2022年3月7日,6.3194,6.3258,6.3263,6.3158,0.01
CNY,2022年3月4日,6.3188,6.3201,6.3235,6.3139,-0.01
CNY,2022年3月3日,6.3195,6.3191,6.3225,6.3143,-0.02
CNY,2022年3月2日,6.321,6.3135,6.3225,6.3089,0.15
CNY,2022年3月1日,6.3116,6.3071,6.3161,6.3068,0.05
CNY,2022年2月28日,6.3084,6.3194,6.32,6.3046,-0.13
CNY,2022年2月25日,6.3169,6.3231,6.3248,6.3116,-0.18
CNY,2022年2月24日,6.3283,6.3216,6.3322,6.3105,0.24
